word,definition,sentence,synonyms,tags
demise,"The death, end, or failure of something.",The demise of my houseplant occurred after I watered it lovingly with what turned out to be iced coffee.,death; end; downfall; termination,Green
demote,"To move someone to a lower rank, position, or status.","After the dog ate the payroll, he was demoted from office mascot to unpaid hallway consultant.",downgrade; reduce; lower; relegate,Green
depict,"To represent or show in words, art, or another medium.","The mural depicted George Washington crossing the Delaware, except someone had added sunglasses and a jet ski.",portray; represent; illustrate; describe,Green
desolate,"Empty, abandoned, bleak, or deeply lonely.","The refrigerator looked desolate after my cousins visited: one pickle, half a lemon, and a mustard bottle staring into the void.",bleak; deserted; barren; forlorn,Green
din,"A loud, unpleasant, prolonged noise.",The din from the children's birthday party made the leaf blower outside sound like a meditation app.,clamor; racket; uproar; cacophony,Green
discern,"To perceive, recognize, or distinguish something clearly.","Through the fog, I could barely discern the shape ahead until it mooed and clarified the situation.",detect; perceive; distinguish; recognize,Green
disinterested,Impartial and not influenced by personal advantage.,"We needed a disinterested judge for the cookie contest, so naturally we did not choose the Labrador.",impartial; unbiased; neutral; objective,Green
distinct,Clearly different or separate; unmistakable.,"There was a distinct smell of burnt toast, followed by the distinct sound of Dad denying responsibility.",separate; different; definite; unmistakable,Green
divulge,To reveal information that was private or secret.,"Under intense questioning, my sister divulged the location of the hidden candy stash and immediately entered witness protection.",reveal; disclose; expose; impart,Green
dramatic,"Striking, sudden, or exaggerated in effect or behavior.","Grandma made a dramatic entrance to breakfast by announcing, 'I have survived the upstairs staircase once again!'",striking; theatrical; sensational; exaggerated,Green
eclectic,Made up of elements drawn from many different sources or styles.,"His eclectic playlist jumped from Mozart to heavy metal to whale songs, often within the same minute.",diverse; varied; wide-ranging; assorted,Green
element,A basic or essential part of something.,"An essential element of Dad's famous chili is secrecy, mostly because nobody wants to know what is actually in it.",component; part; factor; constituent,Green
embezzle,To steal money or property entrusted to one's care.,The treasurer was accused of embezzling bake-sale funds after arriving at school in a suspiciously frosting-colored sports car.,misappropriate; steal; defraud; pilfer,Green
enunciate,To pronounce words clearly and distinctly.,"The drama teacher told me to enunciate, so I announced 'PASS THE KETCHUP' as though addressing Parliament.",articulate; pronounce; express; state,Green
eradicate,To destroy or remove completely.,"Dad vowed to eradicate the ants, but the ants appeared to have lawyers, zoning approval, and a long-term lease.",eliminate; exterminate; abolish; wipe out,Green
espouse,"To adopt, support, or advocate a belief or cause.",My cousin espouses minimalist living while owning fourteen decorative pillows labeled 'essential.',advocate; support; embrace; champion,Green
exacerbate,"To make a problem, feeling, or situation worse.","Telling Mom to 'calm down' only exacerbated the situation, a finding now supported by extensive family research.",aggravate; worsen; intensify; inflame,Green
exemplary,Worthy of imitation because it is exceptionally good.,"Her exemplary behavior at dinner lasted until dessert, when she attempted to drink pudding through a straw.",outstanding; model; commendable; admirable,Green
exhaustive,Extremely thorough and covering all possibilities or details.,Dad conducted an exhaustive search for his glasses while wearing them on his face.,comprehensive; thorough; complete; extensive,Green
expedient,"Convenient and effective for a particular purpose, though possibly improper or imperfect.","Using duct tape as a belt was expedient, although it complicated the evening considerably.",convenient; practical; advantageous; makeshift,Green
exploit,To make effective use of something; or to use someone unfairly for one's own benefit.,My brother exploited my fear of spiders by charging me two dollars to remove what turned out to be a raisin.,use; capitalize on; manipulate; take advantage of,Green
fabricate,To invent something false; also to construct or manufacture.,"I fabricated an elaborate excuse involving a meteor, but the teacher unfortunately had access to weather reports.",invent; concoct; manufacture; falsify,Green
fallacious,Based on mistaken reasoning or a false idea.,His fallacious argument was that vegetables are unhealthy because nobody has ever seen a rabbit driving a car.,false; unsound; illogical; erroneous,Green
forsake,To abandon or give up someone or something.,"I swore never to forsake my diet, then encountered a cheesecake and respectfully revised my position.",abandon; desert; renounce; relinquish,Green
forthright,"Direct, honest, and straightforward.","The forthright waiter said, 'Do not order the fish,' then stared meaningfully toward the kitchen.",direct; candid; frank; straightforward,Green
garble,"To distort, confuse, or reproduce a message inaccurately.","The broken speaker garbled the principal's announcement into what sounded like, 'All students may now release the goats.'",distort; scramble; muddle; misstate,Green
glutton,A person who eats or consumes excessively.,"At the buffet, my glutton of a cousin built a mashed-potato mountain visible from neighboring counties.",overeater; gourmand; hog; gourmandizer,Green
gracious,"Kind, courteous, and pleasantly generous.",Our gracious host smiled warmly even after I knocked over the centerpiece and baptized the tablecloth in gravy.,courteous; kind; considerate; benevolent,Green
grate,To irritate or annoy; also to shred into small pieces.,"His habit of humming one note continuously began to grate on everyone except the cheese, which had other concerns.",irritate; annoy; rasp; shred,Green
gratuitous,"Unnecessary, uncalled for, or given without charge.","The movie contained a gratuitous twelve-minute chase scene involving tractors, penguins, and absolutely no relevance to the plot.",unnecessary; unwarranted; needless; free,Green
harbor,To shelter or conceal; also to hold a thought or feeling over time.,I harbored resentment toward the vending machine after it accepted my dollar and returned nothing but a judgmental hum.,shelter; conceal; nurture; entertain,Green
harmonious,Forming a pleasing or consistent whole; free from conflict.,The family reunion remained harmonious until someone asked who made the superior potato salad.,compatible; balanced; concordant; peaceful,Green
hyperbole,Deliberate exaggeration used for emphasis or effect.,"Saying I waited 'a thousand years' for the microwave was hyperbole, although those final six seconds were brutal.",exaggeration; overstatement; amplification,Green
idiosyncratic,Distinctive or peculiar to a particular person or thing.,Grandpa's idiosyncratic filing system stores tax documents alphabetically by the first food he ate that day.,peculiar; distinctive; individual; quirky,Green
illusory,Based on an illusion; not real despite seeming real.,My sense of financial security was illusory because I had forgotten about the automatic renewal for Premium Goat Facts.,unreal; deceptive; imaginary; misleading,Green
implacable,"Unable to be calmed, satisfied, or persuaded to change.","The implacable toddler rejected crackers, toys, songs, negotiations, and finally the concept of civilization itself.",unyielding; relentless; inflexible; inexorable,Green
implement,"To put a plan, decision, or system into effect.","We implemented a new household rule requiring everyone to label leftovers, which Dad immediately labeled 'Probably Fine.'",execute; enact; carry out; apply,Green
impoverished,"Made poor or lacking in resources, quality, or richness.","After buying three concert tickets, I was financially impoverished but spiritually rich in terrible seats.",poor; destitute; depleted; needy,Green
inconsequential,Too minor or unimportant to have much effect.,"The typo was inconsequential until the birthday banner read 'Happy 80th, Brian' for a six-year-old.",trivial; minor; insignificant; negligible,Green
indentation,"A recess, notch, or inward space; also the spacing at the start of a line of text.","The mysterious indentation in the couch turned out to be Grandpa, who had been napping there since lunch.",notch; recess; dent; inset,Green
indolent,Habitually lazy or avoiding effort.,The indolent cat watched a mouse walk past and appeared to decide that predation was not in his job description.,lazy; idle; slothful; lethargic,Green
indulgent,Overly willing to satisfy someone's wishes or excuse their behavior.,The indulgent grandfather responded to 'Can I have one cookie?' by purchasing the bakery.,lenient; permissive; doting; accommodating,Green
infallible,Incapable of making mistakes or being wrong.,Dad claimed his sense of direction was infallible moments before we arrived at the same gas station for the third time.,unerring; flawless; certain; foolproof,Green
insuperable,Impossible or extremely difficult to overcome.,The locked cookie jar presented an insuperable obstacle until Grandma revealed that the lid simply twisted off.,insurmountable; unbeatable; impossible; overwhelming,Green
intelligible,Able to be understood.,The toddler's speech became intelligible only after she pointed furiously at the cookie jar.,understandable; clear; comprehensible; coherent,Green
introspective,"Thoughtfully examining one's own thoughts, feelings, or motives.","After eating the last brownie, Kevin became introspective and asked himself whether he was selfish; then he licked the plate.",reflective; self-examining; contemplative; thoughtful,Green
irreproachable,So good or proper that no criticism is deserved.,Her table manners were irreproachable until a pea rolled away and she pursued it with a fork like a tiny spearman.,blameless; impeccable; faultless; exemplary,Green
laconic,Using very few words.,"Asked how his first skydiving trip went, Ben gave the laconic reply, 'Parachute worked.'",terse; concise; brief; succinct,Green
liberal,Broad-minded or open to change; also generous in amount or application.,"The chef was liberal with the garlic, to the point that vampires began avoiding the entire zip code.",open-minded; progressive; generous; abundant,Green
mirth,"Amusement, laughter, or cheerful happiness.",The sight of Dad trapped inside the inflatable snowman produced considerable mirth and several unhelpful photographs.,merriment; amusement; gaiety; laughter,Green
modify,"To change something, usually partially rather than completely.",I modified the recipe by replacing two tablespoons of sugar with an entire bag of marshmallows and calling it research.,alter; adjust; revise; adapt,Green
oblique,"Indirect, slanting, or not expressed straightforwardly.",Mom made an oblique reference to my messy room by asking whether raccoons had recently moved upstairs.,indirect; slanting; implicit; evasive,Green
obsolete,No longer in use because something newer has replaced it.,My flip phone became obsolete sometime between 'Snake II' and everyone else acquiring the internet.,outdated; antiquated; superseded; defunct,Green
offensive,Causing anger or disgust; also relating to attacking rather than defending.,His joke was offensive enough that even the parrot stopped repeating it.,insulting; objectionable; attacking; aggressive,Green
ornate,Highly decorated with elaborate details.,"The ornate cake had gold leaves, sugar roses, tiny columns, and almost nowhere left to put actual cake.",elaborate; embellished; decorative; baroque,Green
passive,Not active or assertive; accepting what happens without resistance.,The passive dog watched the squirrel steal his biscuit and seemed to regard the incident as an administrative matter.,inactive; submissive; unassertive; compliant,Green
periphery,The outer edge or boundary of an area or subject.,"I stood at the periphery of the dance floor, where people with my rhythm are legally safest.",edge; fringe; boundary; outskirts,Green
pompous,Self-important and excessively grand in speech or manner.,The pompous waiter described tap water as 'a locally sourced transparent beverage with mineral undertones.',pretentious; grandiose; self-important; bombastic,Green
potent,"Having great power, influence, or effect.",The garlic sauce was so potent that opening the container caused three people to remember appointments elsewhere.,powerful; strong; effective; forceful,Green
prattle,To talk at length in a foolish or trivial way.,Uncle Dan prattled about his new lawn mower until even the lawn looked bored.,babble; chatter; ramble; jabber,Green
premature,Happening too early or before the proper time.,"My victory dance was premature because the bowling ball had not yet reached the pins and was, in fact, headed toward another lane.",early; untimely; hasty; precipitate,Green
pretentious,"Trying to appear more important, cultured, or sophisticated than one really is.",The pretentious café served toast on a wooden plank and called crumbs 'artisanal fragments.',affected; pompous; showy; self-important,Green
profane,Showing disrespect toward sacred things; also vulgar or irreverent.,"The monk considered my ringtone during the ceremony profane, particularly because it was a duck quacking the national anthem.",irreverent; blasphemous; vulgar; sacrilegious,Green
profound,"Very deep, intense, or intellectually significant.","After staring into the refrigerator for ten minutes, I reached the profound conclusion that we needed groceries.",deep; significant; insightful; far-reaching,Green
prologue,An introductory section of a literary or dramatic work.,"The play's prologue explained the ancient family feud, the cursed necklace, and why everyone was inexplicably dressed as a lobster.",introduction; preface; prelude; opening,Green
prolong,To make something last longer.,Asking Grandpa one question about trains prolonged dinner by approximately forty-seven historical anecdotes.,extend; lengthen; continue; protract,Green
propriety,Correct or socially acceptable behavior.,A debate arose over the propriety of wearing swim goggles to a funeral; Uncle Fred claimed they were 'formal black.',decorum; correctness; etiquette; respectability,Green
prosaic,"Ordinary, dull, or lacking imagination.",The magician's grand finale was painfully prosaic: he checked his email and folded laundry.,mundane; ordinary; commonplace; dull,Green
protract,To make something continue longer than necessary or expected.,Dad protracted the goodbye by remembering six additional stories while already standing in the driveway.,prolong; extend; lengthen; drag out,Green
prudent,Showing careful judgment and concern for future consequences.,It was prudent to read the label before drinking the bottle marked 'Industrial Strength Jalapeño Concentrate.',wise; cautious; sensible; judicious,Green
rant,"A long, angry, impassioned complaint or speech.",Dad's rant about printer ink began at breakfast and achieved a surprising second act during dessert.,tirade; diatribe; harangue; outburst,Green
rational,Based on reason or logical thought.,A rational person would have called pest control; Trevor named the raccoon Gerald and gave him a key.,logical; reasonable; sensible; sound,Green
remedy,A treatment or action that corrects a problem.,"Grandma's remedy for nearly every illness involved tea, sleep, and an amount of soup requiring municipal permits.",cure; solution; treatment; corrective,Green
reproof,An expression of criticism or disapproval.,The teacher's raised eyebrow was a more effective reproof than the entire lecture that followed.,rebuke; reprimand; censure; admonition,Green
reserve,To set aside for future use; also restraint in expressing emotion.,"I reserved the last piece of cake by writing my name on it, surrounding it with tape, and hiring the dog as security.",set aside; retain; preserve; restraint,Green
resplendent,"Very bright, attractive, or impressive in appearance.","Grandpa appeared resplendent in a purple tuxedo, silver shoes, and the confidence of a man unaware of subtlety.",splendid; radiant; magnificent; dazzling,Green
rudimentary,"Basic, undeveloped, or involving only the simplest principles.",My rudimentary knowledge of plumbing consisted of knowing that water should generally remain inside the pipes.,basic; elementary; primitive; undeveloped,Green
rupture,"A break, burst, or tear; to break or burst.","The water balloon ruptured directly above Dad, abruptly ending his lecture on responsible summer behavior.",break; tear; burst; breach,Green
ruthless,Showing no pity or compassion in pursuing a goal.,Grandma was ruthless at Scrabble and once challenged a seven-year-old's spelling of 'cat.',merciless; pitiless; relentless; cruel,Green
sanction,To officially authorize something; also to impose a penalty for violating rules.,The school sanctioned the pie-eating contest but imposed sanctions when Trevor attempted to use a leaf blower.,authorize; approve; permit; penalize,Green
scintillate,"To sparkle or flash; figuratively, to be brilliantly lively or clever.","Her conversation scintillated until someone mentioned tax forms, at which point the entire table became spiritually absent.",sparkle; glitter; shine; dazzle,Green
slacken,"To become or make less tight, intense, active, or severe.",Dad refused to slacken his grip on the roof rack until we explained that the car had been parked for twenty minutes.,loosen; ease; diminish; relax,Green
somber,"Dark, serious, or gloomy in mood.",The mood became somber when the waiter announced that the restaurant had run out of french fries.,gloomy; solemn; grave; melancholy,Green
sporadic,Occurring irregularly or only occasionally.,"My exercise routine was sporadic: vigorous on January 2, absent until April, and briefly revived after seeing a staircase.",intermittent; occasional; irregular; scattered,Green
static,Not moving or changing; remaining in one state.,The line remained static for so long that two customers exchanged holiday cards and one started a family.,unchanging; stationary; fixed; stable,Green
stoic,Enduring pain or difficulty without showing much emotion.,"He remained stoic after stepping on a Lego, although a single tear rolled down his cheek with tremendous dignity.",unemotional; impassive; enduring; steadfast,Green
submission,The act of yielding to authority; also something formally presented for consideration.,My essay submission was two days late and included a note requesting mercy from 'the academic authorities.',surrender; compliance; entry; presentation,Green
submissive,Willing to obey or yield to another's authority.,"The supposedly submissive dog obeyed every command except 'come,' 'stay,' 'sit,' and anything involving personal inconvenience.",compliant; obedient; yielding; docile,Green
subordinate,"Lower in rank, importance, or position; to place in a lower position.","As assistant assistant snack manager, I was subordinate to nearly everyone except the napkin intern.",junior; secondary; inferior; dependent,Green
sumptuous,"Luxuriously rich, splendid, or expensive.","The hotel served a sumptuous breakfast featuring twelve pastries, smoked salmon, and a butter sculpture with better posture than mine.",lavish; luxurious; opulent; splendid,Green
surplus,An amount greater than what is needed.,We had a surplus of zucchini so enormous that neighbors began locking their cars to prevent anonymous vegetable donations.,excess; extra; remainder; abundance,Green
symmetry,Balanced correspondence of parts on opposite sides or around a center.,The cake had perfect symmetry until Uncle Bob removed a fist-sized piece from the left side 'for testing.',balance; proportion; correspondence; regularity,Green
temperate,Moderate and restrained; also having a mild climate.,Her temperate response to the spilled paint was impressive: she merely closed her eyes and whispered the alphabet twice.,moderate; mild; restrained; measured,Green
tentative,"Uncertain, hesitant, or not yet final.","I gave the suspicious casserole a tentative poke with my fork, and it seemed to poke back.",hesitant; provisional; uncertain; cautious,Green
totter,To move unsteadily as if about to fall.,Grandpa tottered across the icy driveway carrying six grocery bags and refusing all assistance on philosophical grounds.,stagger; wobble; sway; teeter,Green
unanimity,Complete agreement among everyone involved.,The family achieved rare unanimity on one issue: nobody wanted Uncle Carl to sing another verse.,consensus; agreement; accord; unity,Green
underlying,Fundamental or existing beneath the surface.,"The underlying cause of the argument was not politics, money, or philosophy; it was who had eaten the last mozzarella stick.",fundamental; basic; hidden; root,Green
usurp,"To seize a position, power, or right without authority.",My younger brother usurped my position as TV-remote holder by sitting on it and denying its existence.,seize; appropriate; take over; commandeer,Green
versatile,"Able to adapt to many different functions, activities, or situations.","The versatile spatula flipped pancakes, opened a stubborn drawer, and briefly served as a microphone during breakfast karaoke.",adaptable; flexible; multifaceted; all-purpose,Green
vital,Absolutely necessary or essential; full of life and energy.,"Coffee was vital to the morning meeting, especially after someone scheduled it for 7:15 a.m. without consulting civilization.",essential; crucial; necessary; indispensable,Green
voluminous,"Very large in volume, quantity, or extent.","The lawyer's voluminous report contained 600 pages, three appendices, and apparently the complete history of paper.",extensive; bulky; massive; copious,Green
wary,Cautious and alert because of possible danger or problems.,"I grew wary when the toddler said, 'Don't worry, I fixed it,' while holding a screwdriver and standing beside the television.",cautious; vigilant; suspicious; guarded,Green
