word,definition,sentence,synonyms,tags
condone,To accept or allow behavior considered wrong.,"I do not condone stealing fries, even when the thief is a toddler with excellent negotiation skills.",permit; tolerate; overlook; excuse,Blue and White - Easy
confine,To keep within limits or a restricted space.,"We confined the puppy to the kitchen, which he interpreted as an invitation to remodel it.",restrict; imprison; limit; contain,Blue and White - Easy
conflagration,"A large, destructive fire.",One forgotten garlic bread became a conflagration that introduced us to three very friendly firefighters.,inferno; blaze; firestorm; great fire,Blue and White - Easy
conform,To behave according to accepted standards or match a pattern.,The rebellious sock refused to conform and emerged from the laundry bright pink while all its colleagues were white.,comply; fit; adapt; follow,Blue and White - Easy
confound,"To confuse, surprise, or prove something wrong.","The new remote confounded Grandpa with forty-seven buttons, three of which appeared to control weather satellites.",baffle; perplex; confuse; frustrate,Blue and White - Easy
congeal,"To thicken or solidify, especially from cooling.",The gravy congealed into a substance sturdy enough to support small furniture.,solidify; coagulate; thicken; set,Blue and White - Easy
consequence,A result or effect of an action or condition.,The consequence of feeding the dog under the table was discovering he now attends every meal with legal expectations.,result; effect; outcome; repercussion,Blue and White - Easy
conservative,Cautious about change; favoring traditional practices or restrained estimates.,"My conservative estimate was that the toddler had spilled ""some"" cereal; the floor suggested several acres.",cautious; traditional; moderate; restrained,Blue and White - Easy
conserve,To protect from loss or waste; to use sparingly.,Dad conserves water by taking short showers and then spends twenty minutes explaining that fact.,save; preserve; protect; husband,Blue and White - Easy
consolidate,To combine several things into one stronger or more effective whole.,"We consolidated seven half-empty cereal boxes into one container now known as ""Breakfast Roulette.""",combine; merge; unite; integrate,Blue and White - Easy
contaminate,"To make something impure, dirty, or unsafe.",One red sock contaminated the white laundry and created twelve garments suitable for Valentine's Day.,pollute; taint; infect; adulterate,Blue and White - Easy
contemporary,Existing or occurring in the present time; from the same time period.,"The museum's contemporary art included a chair upside down, which made me reconsider my garage.",modern; current; present-day; coexisting,Blue and White - Easy
contempt,A strong feeling that someone or something is worthless or beneath respect.,The cat regarded the new puppy with the contempt of a duke discovering a goat at dinner.,scorn; disdain; disrespect; derision,Blue and White - Easy
contract,To become smaller; to enter into a binding agreement; also such an agreement.,"My enthusiasm contracted rapidly after I read the contract and found the phrase ""mandatory team-building karaoke.""",shrink; agreement; covenant; compact,Blue and White - Easy
conventional,Following accepted customs or ordinary methods.,"A conventional birthday cake has candles; Uncle Mike's had sparklers, a fog machine, and legal questions.",traditional; customary; standard; ordinary,Blue and White - Easy
conviction,A firmly held belief; also a formal finding of guilt.,"Grandpa spoke with absolute conviction that the remote was broken, while sitting directly on it.",belief; certainty; judgment; finding of guilt,Blue and White - Easy
convoke,To call people together for a formal meeting.,The principal convoked an emergency meeting after a goat appeared in the chemistry lab wearing safety goggles.,summon; assemble; convene; call,Blue and White - Easy
copious,Large in quantity; abundant.,"The diner served copious fries, enough to settle several international potato disputes.",abundant; plentiful; profuse; ample,Blue and White - Easy
cordial,"Warm, friendly, and polite.",The meeting remained cordial until someone suggested changing Grandma's stuffing recipe.,friendly; warm; gracious; affable,Blue and White - Easy
corrupt,Dishonest or immoral; to damage or spoil something.,The corrupt referee accepted a bribe of two cookies and an unusually flattering drawing.,dishonest; immoral; taint; debase,Blue and White - Easy
cryptic,Mysterious or difficult to understand.,"The note on the fridge was cryptic: ""Tuesday. Bananas. Trust nobody.""",mysterious; obscure; enigmatic; puzzling,Blue and White - Easy
culpable,Deserving blame or responsibility for wrongdoing.,The dog looked culpable because innocent animals rarely hide beneath the table with a whole ham.,guilty; blameworthy; responsible; at fault,Blue and White - Easy
cultivate,"To prepare land for crops; to develop a quality, skill, or relationship.",I cultivated patience by teaching Grandpa how to use streaming television without throwing the remote.,develop; foster; nurture; grow,Blue and White - Easy
curb,"To restrain, control, or limit something.",I tried to curb my coffee habit by switching to smaller cups and drinking twelve of them.,restrain; limit; control; check,Blue and White - Easy
cursory,Quick and not thorough.,"My cursory inspection of the hotel room missed the lizard, which had apparently conducted a much more comprehensive inspection of me.",hasty; superficial; brief; perfunctory,Blue and White - Easy
cynical,Distrustful of people's motives and inclined to expect selfishness or disappointment.,"My cynical uncle assumes every ""free sample"" is merely the opening move in a sophisticated cheese conspiracy.",skeptical; distrustful; pessimistic; sardonic,Blue and White - Easy
daunting,Seeming difficult enough to cause fear or discouragement.,The mountain looked daunting until Grandma tightened her shoelaces and asked why everyone was standing around whining.,intimidating; formidable; discouraging; overwhelming,Blue and White - Easy
dauntless,Fearless and determined despite danger or difficulty.,The dauntless toddler marched toward the enormous dog armed only with a cracker and unreasonable confidence.,fearless; intrepid; brave; bold,Blue and White - Easy
dawdle,To waste time by moving or acting slowly.,"We told Liam not to dawdle, so he spent ten minutes explaining why he was definitely not dawdling.",linger; delay; loiter; procrastinate,Blue and White - Easy
debilitate,To make someone or something weak or less effective.,The stomach virus debilitated me so thoroughly that lifting the remote felt like competitive weightlifting.,weaken; enfeeble; impair; exhaust,Blue and White - Easy
decisive,Able to make decisions quickly and firmly; producing a definite result.,Mom was decisive: either clean the room now or explain to the fire marshal why the floor had disappeared.,firm; resolute; conclusive; determined,Blue and White - Easy
decorous,"Polite, restrained, and appropriate to a formal situation.",The dinner remained decorous until Grandpa attempted to launch a dinner roll into the bread basket from six feet away.,proper; respectable; dignified; seemly,Blue and White - Easy
decorum,Proper and polite behavior.,"Restaurant decorum generally discourages sword fighting with breadsticks, a rule my children learned surprisingly late.",etiquette; propriety; manners; civility,Blue and White - Easy
defame,To damage someone's reputation by making false statements.,The squirrel attempted to defame the dog by leaving acorn shells beside the stolen pie.,slander; malign; libel; smear,Blue and White - Easy
defenestration,The act of throwing someone or something out of a window.,"The printer's repeated ""paper jam"" messages nearly resulted in its defenestration from the second-floor office.",ejection; expulsion; throwing out,Blue and White - Easy
degenerate,To decline into a worse condition or lower standard.,"The intellectual debate degenerated into two adults shouting, ""Your lasagna is weird!""",deteriorate; decline; regress; worsen,Blue and White - Easy
deliberate,Done intentionally; or to think carefully before deciding.,"After deliberate consideration, the jury determined that nobody should let Uncle Fred operate the fondue fountain again.",intentional; considered; ponder; weigh,Blue and White - Easy
demoralize,"To destroy someone's confidence, spirit, or hope.",Nothing demoralizes a beginning golfer like watching an eight-year-old casually hit the ball twice as far.,discourage; dishearten; dispirit; depress,Blue and White - Easy
denounce,To publicly condemn strongly.,"The neighborhood association denounced the mystery person leaving zucchini on porches, while secretly suspecting Grandma.",condemn; decry; criticize; censure,Blue and White - Easy
deplete,To greatly reduce the amount or supply of something.,One teenage sleepover depleted the refrigerator so completely that the mustard looked lonely.,exhaust; drain; diminish; use up,Blue and White - Easy
derivative,Copied or developed from something else rather than original.,"The movie felt derivative: it was essentially ""Jaws,"" except the shark was a furious goose.",imitative; unoriginal; borrowed; secondary,Blue and White - Easy
despair,The complete loss of hope.,"I felt despair when the ice-cream machine displayed ""OUT OF ORDER"" and the employee nodded with practiced sorrow.",hopelessness; anguish; despondency; gloom,Blue and White - Easy
despise,To dislike or hate intensely.,My cat despises closed doors because they imply a universe in which he is not consulted.,loathe; detest; abhor; scorn,Blue and White - Easy
destitute,Extremely poor and lacking basic necessities.,"After buying four concert tickets, I felt temporarily destitute and began regarding free ketchup packets as assets.",impoverished; penniless; needy; indigent,Blue and White - Easy
detour,An indirect route taken to avoid an obstacle or reach a destination.,"Dad's ""tiny detour"" added forty miles, two tolls, and an unexpected visit to Delaware.",diversion; alternate route; deviation; bypass,Blue and White - Easy
detrimental,Causing harm or damage.,Eating nachos during a sit-up contest proved detrimental to both my performance and the gym's upholstery.,harmful; damaging; deleterious; adverse,Blue and White - Easy
didactic,"Intended to teach, sometimes too obviously or preachily.",The movie was so didactic that even the villain paused the chase to explain responsible recycling.,instructive; educational; moralizing; pedagogical,Blue and White - Easy
digression,A temporary departure from the main subject.,Grandpa's brief digression about lawn mowers lasted longer than the wedding ceremony.,aside; tangent; detour; deviation,Blue and White - Easy
diligent,Showing careful and persistent effort.,"The diligent squirrel moved every birdseed kernel one at a time, unlike me, who postponed unloading the dishwasher until Wednesday.",industrious; assiduous; hardworking; meticulous,Blue and White - Easy
diminish,"To make or become smaller, weaker, or less important.","My confidence diminished when the IKEA instructions introduced a symbol that appeared to mean ""summon another adult.""",reduce; lessen; decrease; wane,Blue and White - Easy
discord,Disagreement or lack of harmony.,Family discord erupted when someone claimed the superior pizza topping was anchovies.,conflict; disharmony; disagreement; strife,Blue and White - Easy
discredit,To harm the reputation of or prove something unworthy of belief.,The discovery of frosting on his sleeves discredited Ethan's claim that he had never seen the cake.,disgrace; invalidate; undermine; refute,Blue and White - Easy
disdain,A feeling that something is unworthy of respect.,The cat viewed generic tuna with the disdain of a food critic offered a damp napkin.,contempt; scorn; derision; disrespect,Blue and White - Easy
disgruntled,"Annoyed, dissatisfied, and resentful.","The disgruntled customer demanded a manager because his ""bottomless coffee"" had, technically, arrived in a cup with a bottom.",dissatisfied; annoyed; resentful; irritated,Blue and White - Easy
disparity,A noticeable and often unfair difference between things.,"There was a troubling disparity between my son's definition of ""clean room"" and every known public-health standard.",difference; inequality; imbalance; gap,Blue and White - Easy
disperse,To scatter or spread in different directions.,The crowd dispersed instantly when the organizer announced that cleanup volunteers were needed.,scatter; dissipate; spread; break up,Blue and White - Easy
disposition,A person's usual mood or temperament; also arrangement or placement.,The bulldog had a sunny disposition despite having the facial expression of an angry tax auditor.,temperament; nature; character; arrangement,Blue and White - Easy
disseminate,To spread information or ideas widely.,Grandma disseminated the family gossip with such efficiency that three cousins knew before the event had actually happened.,spread; circulate; distribute; broadcast,Blue and White - Easy
dissipate,"To scatter, disappear, or cause something to fade away.",My motivation to exercise dissipated the moment rain touched the window.,disperse; vanish; dissolve; fade,Blue and White - Easy
dissuade,To persuade someone not to do something.,"We tried to dissuade Uncle Bob from buying a unicycle, but the helmet had already arrived.",deter; discourage; talk out of; prevent,Blue and White - Easy
diversity,"A variety of different people, things, or qualities.",The buffet offered impressive diversity: twelve cuisines and one mysterious casserole nobody could geographically identify.,variety; range; multiplicity; difference,Blue and White - Easy
doctrine,A set of beliefs or principles taught or held by a group.,Dad's household doctrine is simple: never pay full price and never trust a printer.,creed; teaching; principle; dogma,Blue and White - Easy
document,To record information or evidence in detail; also a written record.,"My sister documented the dog's crimes with forty-seven photographs and a spreadsheet titled ""Sock Incidents.""",record; chronicle; register; evidence,Blue and White - Easy
dogmatic,Expressing beliefs as unquestionably true and refusing other views.,"My uncle is dogmatic about barbecue: there is one correct sauce, and apparently dissent is punishable by exile.",rigid; doctrinaire; inflexible; opinionated,Blue and White - Easy
dormant,Inactive for a period but capable of becoming active again.,My exercise routine has been dormant since January but remains theoretically alive.,inactive; sleeping; latent; quiescent,Blue and White - Easy
dour,"Stern, gloomy, and unfriendly in appearance or manner.",The dour waiter looked at our birthday hats as though happiness required a permit.,grim; stern; morose; gloomy,Blue and White - Easy
dubious,"Doubtful, questionable, or uncertain.","The dog's claim that ""the cat did it"" seemed dubious because the cat weighs eight pounds and the turkey weighed fifteen.",doubtful; questionable; suspicious; uncertain,Blue and White - Easy
eccentric,Unconventional or oddly distinctive in behavior.,"Our eccentric neighbor walks his pet duck in a stroller and refers to Tuesdays as ""formalwear day.""",quirky; unconventional; odd; peculiar,Blue and White - Easy
effervescent,"Lively, bubbly, and enthusiastic; also fizzy.",Her effervescent personality was so cheerful at 7 a.m. that several coworkers suspected witchcraft.,bubbly; lively; exuberant; sparkling,Blue and White - Easy
elicit (vs illicit),Elicit means to draw out a response; illicit means illegal or forbidden.,"The teacher tried to elicit an answer, not arrange an illicit shipment of algebra worksheets across state lines.",draw out; evoke; prompt; illicit=illegal,Blue and White - Easy
eloquent,"Fluent, persuasive, and graceful in expression.","The toddler gave an eloquent defense of eating cookies for breakfast, citing happiness, efficiency, and constitutional precedent.",expressive; articulate; persuasive; fluent,Blue and White - Easy
elucidate,To make something clear by explaining it.,"The mechanic elucidated the problem by saying, ""This part should not be smoking.""",explain; clarify; illuminate; interpret,Blue and White - Easy
elusive,"Difficult to find, catch, understand, or achieve.","A clean kitchen was elusive because every time I finished, another child appeared holding peanut butter.",evasive; hard-to-find; slippery; unattainable,Blue and White - Easy
embellish,"To decorate or add details, sometimes exaggerated ones.","Grandpa embellished the fishing story until the trout had a name, a college degree, and legal representation.",decorate; elaborate; exaggerate; adorn,Blue and White - Easy
embrace,To accept enthusiastically; also to hold someone closely.,I embraced minimalism by throwing away one magazine and then celebrating with three new storage baskets.,accept; adopt; welcome; hug,Blue and White - Easy
endorse,To publicly approve or support something.,The dog enthusiastically endorsed the new household policy permitting bacon on Sundays.,support; approve; recommend; back,Blue and White - Easy
endure,To suffer through or continue despite difficulty.,"I endured the six-hour recital with dignity, snacks, and a rapidly declining phone battery.",tolerate; withstand; survive; persist,Blue and White - Easy
engaging,"Interesting, charming, or pleasant enough to hold attention.",The professor was engaging enough to make tax law sound like a mildly dangerous adventure.,captivating; interesting; charming; appealing,Blue and White - Easy
engender,To cause or give rise to something.,"The phrase ""mandatory Saturday meeting"" engendered immediate sadness throughout the office.",cause; generate; produce; provoke,Blue and White - Easy
enhance,"To improve or increase the quality, value, or attractiveness of something.",A little parsley enhanced the soup; the plastic googly eyes did not.,improve; augment; enrich; strengthen,Blue and White - Easy
enlighten,To give someone greater knowledge or understanding.,My teenager enlightened me on current slang and then asked me never to use any of it publicly.,inform; educate; illuminate; instruct,Blue and White - Easy
entail,To involve something as a necessary result or requirement.,"Owning a puppy entails walks, vet bills, and accepting that one shoe will always be mysteriously damp.",involve; require; necessitate; imply,Blue and White - Easy
entangle,To twist together or involve in a complicated situation.,My headphones became entangled in my pocket with enough complexity to qualify as nautical rigging.,tangle; ensnare; involve; embroil,Blue and White - Easy
ephemeral,Lasting for a very short time.,My resolve to avoid dessert was ephemeral; it vanished when the crème brûlée arrived.,fleeting; transient; short-lived; momentary,Blue and White - Easy
erratic,Unpredictable and inconsistent in behavior or movement.,The squirrel's erratic path across the road resembled someone trying to choose a checkout line.,unpredictable; irregular; inconsistent; volatile,Blue and White - Easy
erudite,Having or showing extensive knowledge.,"The erudite professor quoted Plato, Shakespeare, and, unexpectedly, a 1980s cereal commercial.",learned; scholarly; knowledgeable; educated,Blue and White - Easy
esoteric,Intended for or understood by only a small group with specialized knowledge.,The board game's rules were so esoteric that the inventor had to call his mother for clarification.,obscure; arcane; specialized; abstruse,Blue and White - Easy
esteem,Respect and admiration; to regard highly.,"I hold Grandma in great esteem, particularly when she is standing near a tray of brownies.",respect; regard; admiration; honor,Blue and White - Easy
estrange,To cause someone to become distant or unfriendly.,Serving decaf without warning may estrange you from certain members of my family permanently.,alienate; separate; distance; isolate,Blue and White - Easy
exclude,To leave someone or something out.,"The club excluded anyone unwilling to wear the ceremonial lobster hat, which dramatically reduced membership.",omit; bar; eliminate; shut out,Blue and White - Easy
exonerate,To clear someone from blame or guilt.,The security camera exonerated the toddler and revealed that Grandpa had eaten the missing cupcake.,absolve; acquit; vindicate; clear,Blue and White - Easy
expedite,To make a process happen faster.,Offering pizza expedited the meeting more effectively than any management consultant in company history.,accelerate; hasten; speed; facilitate,Blue and White - Easy
explicit,"Clearly and directly stated, leaving no ambiguity.","Mom's instructions were explicit: ""Do not put the hamster in the dishwasher,"" a sentence she had not expected to need.",clear; definite; specific; unambiguous,Blue and White - Easy
extol,To praise enthusiastically and highly.,Grandpa extolled the virtues of his new recliner as though it had won a Nobel Prize.,praise; laud; acclaim; glorify,Blue and White - Easy
extravagant,Spending or using more than is necessary; excessively elaborate.,"The extravagant birthday cake had six tiers, edible gold, and its own lighting technician.",lavish; excessive; opulent; wasteful,Blue and White - Easy
