word,definition,sentence,synonyms,tags
anomaly,Something that differs from what is normal or expected.,Dad voluntarily asking for directions was such an anomaly that Mom checked the calendar for eclipses.,irregularity; aberration; exception; oddity,Claude-Generated 1
antipathy,A strong feeling of dislike or aversion.,I developed an immediate antipathy toward the alarm clock when it expressed opinions at 6:00 a.m.,aversion; dislike; hostility; distaste,Claude-Generated 1
aplomb,"Self-confidence and composure, especially in a difficult situation.","She handled the exploding birthday cake with remarkable aplomb, calmly extinguishing it before asking who had invited the pyrotechnician.",poise; composure; assurance; confidence,Claude-Generated 1
arcane,Known or understood by very few people; mysterious or obscure.,The remote control had become so arcane that only Grandpa knew which sequence of seven buttons produced television.,obscure; esoteric; mysterious; abstruse,Claude-Generated 1
ardent,"Very enthusiastic, passionate, or devoted.",He is an ardent supporter of breakfast and has written several strongly worded letters opposing its cancellation.,passionate; fervent; zealous; devoted,Claude-Generated 1
arduous,Requiring great effort; difficult and tiring.,"The arduous journey from my couch to the refrigerator involved twelve feet, one staircase, and tremendous personal courage.",difficult; strenuous; laborious; demanding,Claude-Generated 1
ascertain,To find out something with certainty.,I opened the refrigerator to ascertain whether the cake was still there and discovered a crime scene of crumbs.,determine; establish; discover; verify,Claude-Generated 1
assail,"To attack physically, verbally, or with overwhelming force.","The moment I opened the door, I was assailed by three puppies, two hugs, and a smell suggesting someone had burned garlic.",attack; assault; bombard; criticize,Claude-Generated 1
assiduous,"Showing persistent, careful effort.","Through assiduous study, Leo memorized every state capital and somehow forgot where he had put his shoes.",diligent; industrious; persistent; meticulous,Claude-Generated 1
astute,Showing sharp judgment and insight.,"The astute toddler realized that saying ""Daddy said yes"" works best when Daddy is not in the room.",shrewd; perceptive; clever; discerning,Claude-Generated 1
atone,To make amends for wrongdoing.,"To atone for eating my sister's dessert, I offered her half of mine, which was generous because I had already eaten most of it.",make amends; compensate; repent; expiate,Claude-Generated 1
avid,Having a strong interest or enthusiasm for something.,"Grandpa is an avid birdwatcher who can identify forty species but still calls every text message ""an email.""",enthusiastic; keen; eager; passionate,Claude-Generated 1
banter,"Playful, teasing conversation.","Our friendly banter ended when Grandma said my haircut looked ""brave,"" and nobody could tell whether she was joking.",teasing; repartee; joking; badinage,Claude-Generated 1
belabor,To explain or discuss something excessively; also to attack repeatedly.,"I will not belabor the point, except with this seventeen-slide presentation titled ""Why You Left the Milk Out.""",overexplain; dwell on; labor; hammer,Claude-Generated 1
benefactor,A person who gives money or help to support someone or something.,"Our mysterious benefactor donated enough money for new band uniforms and, for reasons unknown, one enormous gong.",patron; donor; supporter; sponsor,Claude-Generated 1
bequeath,To leave property to someone in a will; to pass something on.,Grandpa bequeathed me his antique watch and my cousin his legendary collection of motel soaps.,leave; devise; pass on; bestow,Claude-Generated 1
berate,To scold or criticize angrily at length.,The coach berated the vending machine for stealing his dollar as though it were an athlete who had missed practice.,scold; rebuke; chastise; lambaste,Claude-Generated 1
blatant,Very obvious and done without shame or concealment.,My brother's blatant attempt to steal my fries involved moving them onto his plate while maintaining eye contact.,obvious; flagrant; glaring; brazen,Claude-Generated 1
bleak,"Cold, empty, depressing, or offering little hope.",The snack cabinet looked bleak: one stale cracker and a packet of raisins nobody had touched since 2018.,grim; desolate; dreary; hopeless,Claude-Generated 1
boisterous,"Noisy, energetic, and cheerful.",The boisterous children turned a quiet picnic into something resembling a small Viking invasion.,rowdy; exuberant; noisy; lively,Claude-Generated 1
brazen,"Bold and shameless, especially in wrongdoing.","The raccoon made a brazen theft of my sandwich, then sat on the fence and ate it in front of me.",shameless; bold; audacious; blatant,Claude-Generated 1
brevity,Shortness of speech or writing.,"In the interest of brevity, Dad summarized our six-hour road trip as ""traffic, rain, goat.""",conciseness; succinctness; shortness; terseness,Claude-Generated 1
brusque,Abrupt or blunt in manner or speech.,"The brusque receptionist greeted me with ""Name?"" in a tone suggesting vowels cost extra.",curt; blunt; abrupt; terse,Claude-Generated 1
burgeon,To grow or develop rapidly.,My nephew's interest in dinosaurs began to burgeon until every family conversation somehow involved the Cretaceous period.,grow; flourish; expand; proliferate,Claude-Generated 1
callous,Emotionally insensitive and showing little concern for others.,It was callous of my brother to eat the last cupcake while I was giving a speech about how much I wanted it.,unfeeling; insensitive; heartless; cruel,Claude-Generated 1
camaraderie,"Mutual trust, friendship, and good feeling among a group.",Nothing builds camaraderie like six adults trying together to fold a fitted sheet.,fellowship; friendship; solidarity; companionship,Claude-Generated 1
capitulate,To surrender or stop resisting.,"After forty minutes of arguing with the toddler, Dad capitulated and allowed the stuffed giraffe to have its own airplane seat.",surrender; yield; submit; concede,Claude-Generated 1
catalyst,Something that causes or speeds up significant change.,The arrival of free doughnuts was the catalyst that transformed our sleepy meeting into a highly motivated organization.,stimulus; trigger; impetus; agent,Claude-Generated 1
censure,Strong official criticism or condemnation.,The council censured the mayor after he used the emergency siren to announce that his cat was missing.,condemnation; rebuke; reprimand; disapproval,Claude-Generated 1
chagrin,Embarrassment or distress caused by failure or humiliation.,"To my chagrin, I spent ten minutes searching for my phone while using its flashlight.",embarrassment; humiliation; vexation; mortification,Claude-Generated 1
coerce,To force someone to do something through pressure or threats.,"My niece coerced me into playing tea party by explaining that refusal would be ""very disappointing to the princess council.""",force; compel; pressure; intimidate,Claude-Generated 1
cogent,"Clear, logical, and convincing.","Her cogent argument for getting a puppy included exercise, responsibility, and a suspiciously professional pie chart.",convincing; compelling; logical; persuasive,Claude-Generated 1
colloquial,Characteristic of informal everyday speech.,"""Gonna"" is colloquial; apparently my English teacher prefers that I announce, ""I am going to obtain pizza.""",informal; conversational; vernacular; everyday,Claude-Generated 1
complement,Something that completes or enhances another thing; to do so.,The garlic bread perfectly complemented the pasta and completely destroyed my chances of polite conversation afterward.,enhance; complete; supplement; counterpart,Claude-Generated 1
compliant,"Willing to follow rules, requests, or directions.",The dog was surprisingly compliant once he realized every command ended with cheese.,obedient; cooperative; submissive; accommodating,Claude-Generated 1
condescend,To behave as though one is superior to others; also to lower oneself to do something.,"The twelve-year-old condescended to explain smartphones to Grandpa, who had helped design satellites.",patronize; talk down to; stoop; deign,Claude-Generated 1
congenial,"Pleasant, friendly, and well suited to one's tastes.",The book club was congenial until someone casually admitted she folds page corners.,agreeable; pleasant; friendly; compatible,Claude-Generated 1
connoisseur,"A person with expert knowledge and refined judgment, especially in art or food.",My six-year-old calls himself a chicken-nugget connoisseur and rejects any dinosaur shape with insufficient anatomical accuracy.,expert; authority; aficionado; gourmet,Claude-Generated 1
consensus,General agreement among a group.,"After three hours, the committee reached consensus that the three-hour meeting had been unnecessary.",agreement; accord; unanimity; concurrence,Claude-Generated 1
consternation,"Sudden anxiety or dismay, especially at something unexpected.","There was widespread consternation when the substitute teacher announced that the class hamster was ""somewhere in the building.""",dismay; alarm; distress; bewilderment,Claude-Generated 1
contentious,Likely to cause argument; argumentative.,The question of whether pineapple belongs on pizza became so contentious that Grandma adjourned dinner.,controversial; disputatious; argumentative; combative,Claude-Generated 1
contrite,Genuinely sorry and remorseful.,"The dog looked contrite after stealing the roast, although he continued chewing during the apology.",remorseful; repentant; apologetic; penitent,Claude-Generated 1
conundrum,A difficult problem or puzzling question.,"I faced a conundrum: the remote was under the sleeping cat, and the cat controlled both television access and household peace.",puzzle; dilemma; quandary; problem,Claude-Generated 1
covert,"Secret or hidden, especially deliberately.",Our covert midnight snack mission failed because Dad brought the loudest bag of chips manufactured by science.,secret; hidden; clandestine; undercover,Claude-Generated 1
covet,To strongly desire something belonging to someone else.,I coveted my neighbor's new grill so intensely that I began complimenting it by name.,envy; desire; crave; yearn for,Claude-Generated 1
credulous,Too ready to believe things without enough evidence.,My credulous uncle forwarded an article claiming onions can charge cell phones and immediately bought forty pounds of onions.,gullible; trusting; naive; unsuspecting,Claude-Generated 1
cumbersome,"Large, awkward, or difficult to handle.",The cumbersome inflatable kayak required two people to carry and four people to explain why it was inside the elevator.,unwieldy; awkward; bulky; clumsy,Claude-Generated 1
curtail,"To reduce, shorten, or restrict.",The principal curtailed the talent show after the third student attempted fire juggling.,reduce; shorten; limit; cut back,Claude-Generated 1
dearth,A scarcity or lack of something.,"There was a dearth of volunteers after the email mentioned ""early Saturday morning"" and ""manual compost turning.""",scarcity; shortage; lack; paucity,Claude-Generated 1
debunk,To expose a false belief or claim.,"The veterinarian debunked Grandpa's theory that the cat was ""part panther"" by pointing out that he weighed nine pounds and feared cucumbers.",disprove; refute; expose; invalidate,Claude-Generated 1
deft,"Skillful, quick, and precise.","With a deft flick of the wrist, Grandma flipped the pancake and caught it on Grandpa's plate three feet away.",skillful; adroit; nimble; dexterous,Claude-Generated 1
deleterious,Causing harm or damage.,Eating an entire cheesecake before jogging had a deleterious effect on both my speed and my worldview.,harmful; damaging; detrimental; injurious,Claude-Generated 1
delineate,To describe or mark something precisely and clearly.,The treaty delineated which side of the couch belonged to each sibling and established a neutral cushion zone.,define; outline; demarcate; specify,Claude-Generated 1
demure,"Quiet, modest, and reserved in behavior or appearance.",She looked demure in the family portrait until you noticed the slingshot hidden behind her back.,modest; reserved; shy; decorous,Claude-Generated 1
deplore,To strongly disapprove of or regret something.,Grandma deplores bad table manners but makes an exception when ribs are involved.,condemn; lament; disapprove of; regret,Claude-Generated 1
deride,To mock or ridicule contemptuously.,My siblings derided my homemade haircut until Dad walked in and quietly removed his hat.,mock; ridicule; scoff at; jeer,Claude-Generated 1
despot,"A ruler or person with absolute, often cruel, power.",The toddler became a tiny despot after discovering that adults would do almost anything to stop him screaming in a restaurant.,tyrant; dictator; autocrat; oppressor,Claude-Generated 1
deter,To discourage or prevent someone from acting.,"The ""Beware of Dog"" sign did not deter burglars, but the photograph of our Chihuahua wearing goggles created uncertainty.",discourage; prevent; dissuade; inhibit,Claude-Generated 1
diminutive,Very small; a shortened or affectionate form of a name.,The diminutive dog weighed six pounds but barked as though personally responsible for national defense.,tiny; miniature; small; petite,Claude-Generated 1
discreet,Careful and tactful about keeping something private or avoiding attention.,The discreet waiter quietly informed me that my shirt was inside out instead of announcing it over the restaurant speakers.,tactful; unobtrusive; prudent; circumspect,Claude-Generated 1
disparage,To speak of someone or something as unimportant or inferior.,Never disparage Grandma's meatballs unless you are prepared to leave the family group chat.,belittle; denigrate; demean; criticize,Claude-Generated 1
dispel,"To make a belief, feeling, or condition disappear.","The first bite dispelled any illusion that Dad's ""experimental chili"" was safe for civilians.",banish; eliminate; scatter; dismiss,Claude-Generated 1
dissent,To disagree with a prevailing opinion or decision.,"Everyone voted for pizza except Kevin, who dissented and was thereafter regarded with deep suspicion.",disagree; object; protest; differ,Claude-Generated 1
docile,"Easy to control, teach, or manage; gentle.","The supposedly docile goat ate the map, escaped the pen, and took command of the picnic.",obedient; tame; compliant; gentle,Claude-Generated 1
ebullient,"Cheerful, energetic, and overflowing with enthusiasm.",My ebullient aunt greeted us at 6:30 a.m. as though sunrise were a surprise party she had personally organized.,exuberant; buoyant; effervescent; enthusiastic,Claude-Generated 1
egregious,Outstandingly or shockingly bad.,The referee made an egregious error by awarding the goal to a child who was sitting on the bench eating grapes.,flagrant; outrageous; glaring; shocking,Claude-Generated 1
elated,Extremely happy and excited.,I was elated to find twenty dollars in my coat until Mom reminded me that she had lent it to me yesterday.,overjoyed; thrilled; jubilant; ecstatic,Claude-Generated 1
eminent,"Highly respected, distinguished, or prominent.",The eminent professor had published six books but still required assistance opening the conference-room coffee dispenser.,distinguished; renowned; prominent; illustrious,Claude-Generated 1
empathy,The ability to understand and share another person's feelings.,"I felt empathy for the dog after his bath because I too have been betrayed by people claiming something was ""for my own good.""",understanding; compassion; sensitivity; fellow feeling,Claude-Generated 1
emulate,To imitate someone in order to equal or surpass them.,I tried to emulate Grandma's pie crust and instead created a structural material suitable for bridge repair.,imitate; mimic; follow; rival,Claude-Generated 1
enigmatic,Mysterious and difficult to understand.,"The enigmatic note on the refrigerator read only ""Tuesday. Pickles. Don't ask.""",mysterious; cryptic; puzzling; inscrutable,Claude-Generated 1
epitome,A perfect example of a particular quality or type.,Uncle Ron is the epitome of confidence: he gives driving directions in cities he has never visited.,embodiment; model; archetype; personification,Claude-Generated 1
equanimity,"Calmness and emotional balance, especially under stress.",Mom maintained remarkable equanimity when the blender lid flew off and redecorated the ceiling with blueberry smoothie.,composure; calm; poise; serenity,Claude-Generated 1
equivocate,To use vague or ambiguous language to avoid committing to the truth or a position.,"Asked whether he had eaten the cake, my brother equivocated: ""I interacted with the cake in several ways.""",hedge; evade; prevaricate; waffle,Claude-Generated 1
erroneous,Incorrect or based on error.,My erroneous belief that the meeting was casual became apparent when I arrived in shorts and everyone else was wearing suits.,incorrect; mistaken; false; inaccurate,Claude-Generated 1
eschew,To deliberately avoid or abstain from something.,I eschew reality television because my own family already provides unlimited unscripted conflict.,avoid; shun; abstain from; renounce,Claude-Generated 1
exasperate,To irritate or frustrate intensely.,"Nothing exasperates Dad like the printer displaying ""PC LOAD LETTER,"" a message he considers a personal insult.",irritate; infuriate; frustrate; aggravate,Claude-Generated 1
exorbitant,"Unreasonably or excessively high, especially in price.",The airport charged an exorbitant price for a sandwich that appeared to have been assembled during the previous administration.,excessive; outrageous; inflated; extortionate,Claude-Generated 1
exuberant,"Overflowing with energy, excitement, or joy.",The exuberant puppy greeted me as though I had returned from a twenty-year voyage instead of taking out the trash.,enthusiastic; ebullient; lively; buoyant,Claude-Generated 1
facade,"The front of a building; figuratively, a false outward appearance.",His facade of confidence collapsed when the waiter asked whether he wanted sparkling or still water.,front; exterior; veneer; pretense,Claude-Generated 1
facile,"Achieved or expressed easily, sometimes too simplistically.","His facile solution to traffic was ""Everyone should just drive somewhere else.""",easy; simplistic; glib; effortless,Claude-Generated 1
fathom,To understand something deeply or figure it out.,I cannot fathom why my cat demands the door opened and then stands in the doorway conducting philosophical research.,understand; comprehend; grasp; discern,Claude-Generated 1
feasible,Possible and practical to accomplish.,"Building a swimming pool on the roof sounded feasible until someone mentioned gravity, money, and laws.",practical; workable; possible; viable,Claude-Generated 1
feign,"To pretend to have a feeling, condition, or appearance.",The child feigned sleep so convincingly that he occasionally opened one eye to check whether we were impressed.,pretend; simulate; fake; affect,Claude-Generated 1
fickle,"Likely to change loyalties, preferences, or feelings suddenly.","My fickle toddler loved peas on Monday, hated them Tuesday, and by Wednesday insisted she had never met a pea.",changeable; capricious; inconstant; mercurial,Claude-Generated 1
flippant,Not showing proper seriousness or respect.,"When asked about the broken window, his flippant response was, ""Good news: the baseball definitely works.""",facetious; glib; frivolous; disrespectful,Claude-Generated 1
formidable,"Inspiring respect or fear because of great strength, difficulty, or ability.",Grandma is a formidable Scrabble opponent who keeps a dictionary beside her chair like a medieval weapon.,daunting; powerful; impressive; fearsome,Claude-Generated 1
fortitude,Courage and endurance in the face of hardship.,It took tremendous fortitude to continue assembling the furniture after discovering the instructions were entirely pictorial.,courage; resilience; endurance; bravery,Claude-Generated 1
frivolous,"Not serious, useful, or sensible; trivial.",Buying a tiny tuxedo for the hamster seemed frivolous until we received the wedding invitation.,trivial; silly; superficial; pointless,Claude-Generated 1
frugal,Careful and economical with money or resources.,"Grandpa is so frugal that he washes disposable forks and refers to restaurant napkins as ""free household linens.""",thrifty; economical; sparing; prudent,Claude-Generated 1
furtive,Secretive and trying to avoid notice.,The dog's furtive walk away from the kitchen would have been more convincing without the entire roast in his mouth.,sneaky; stealthy; surreptitious; covert,Claude-Generated 1
futile,Incapable of producing a useful result; pointless.,Trying to keep white furniture clean with three children and a chocolate Labrador was a futile experiment.,pointless; hopeless; useless; vain,Claude-Generated 1
garrulous,"Excessively talkative, especially about unimportant things.","Our garrulous taxi driver explained his childhood, dental history, and views on zucchini before we reached the second traffic light.",talkative; loquacious; chatty; verbose,Claude-Generated 1
glib,Fluent and confident in a superficial or insincere way.,His glib assurance that he could fix the sink ended when he asked which part was the sink.,slick; facile; smooth; superficial,Claude-Generated 1
grandiose,Impressively large or important in a way that may be exaggerated or unrealistic.,"My nephew's grandiose plan for a lemonade stand included a board of directors, valet parking, and international expansion.",pompous; ambitious; extravagant; inflated,Claude-Generated 1
harangue,"A long, forceful, angry speech.",Dad delivered a harangue about thermostat settings so passionate that the thermostat itself seemed ashamed.,tirade; rant; diatribe; lecture,Claude-Generated 1
haughty,Arrogantly superior and disdainful.,The haughty poodle refused the ordinary dog biscuit and waited for something with visible truffle shavings.,arrogant; disdainful; imperious; snobbish,Claude-Generated 1
heretic,A person whose beliefs strongly oppose accepted doctrine or convention.,"At our family barbecue, anyone who prefers well-done steak is treated as a culinary heretic.",dissenter; nonconformist; iconoclast; apostate,Claude-Generated 1
hiatus,A pause or break in an activity or sequence.,My exercise program entered a brief hiatus in February and is now approaching its third anniversary.,pause; break; interruption; interval,Claude-Generated 1
illustrious,"Highly distinguished, famous, or admired.",The illustrious scientist had won three major awards and still wore two different socks to the ceremony.,distinguished; eminent; renowned; celebrated,Claude-Generated 1
imminent,About to happen very soon.,The silence from the children's room suggested that either sleep or catastrophe was imminent.,impending; approaching; forthcoming; near,Claude-Generated 1
immutable,Unable to be changed.,"Grandma's rule that nobody leaves hungry is immutable, possibly protected by constitutional amendment.",unchangeable; fixed; permanent; invariable,Claude-Generated 1
impassive,Showing no emotion or reaction.,The poker player remained impassive even when a pigeon landed on his head.,expressionless; stoic; unemotional; inscrutable,Claude-Generated 1
impeccable,Perfect and free from faults or errors.,His impeccable suit remained flawless until the chocolate fountain developed ambitions.,faultless; flawless; perfect; irreproachable,Claude-Generated 1
implicit,Suggested or understood without being stated directly.,There was an implicit rule that nobody mention Uncle Steve's karaoke performance while he was still holding the microphone.,unspoken; implied; tacit; understood,Claude-Generated 1
implore,To beg someone urgently or desperately.,"I implored the mechanic to save my car, which responded by dropping another mysterious piece onto the floor.",beg; plead; beseech; entreat,Claude-Generated 1
impudent,Boldly disrespectful or rude.,"The impudent squirrel stole my bagel, sat three feet away, and appeared to critique my reaction.",insolent; cheeky; impertinent; brazen,Claude-Generated 1
inadvertent,Unintentional or accidental.,My inadvertent reply-all informed the entire office that I thought the meeting could have been an email.,accidental; unintended; unintentional; heedless,Claude-Generated 1
inane,"Silly, pointless, or lacking sense.",We spent twenty minutes in an inane debate about whether cereal is technically soup.,foolish; senseless; vacuous; absurd,Claude-Generated 1
incessant,Continuing without stopping.,"The child's incessant question ""Are we there yet?"" began before we had backed out of the driveway.",constant; continual; unremitting; nonstop,Claude-Generated 1
incredulous,Unwilling or unable to believe something.,I was incredulous when Dad claimed he had eaten only one chip while holding an empty family-size bag.,disbelieving; skeptical; doubtful; astonished,Claude-Generated 1
indignant,Angry because something seems unfair or insulting.,"The cat looked indignant when I moved him from my chair, apparently forgetting whose mortgage pays for it.",outraged; offended; resentful; incensed,Claude-Generated 1
industrious,"Hardworking, diligent, and productive.",The industrious beaver built a dam before breakfast while I was still negotiating with my alarm clock.,diligent; hardworking; assiduous; productive,Claude-Generated 1
infer,To reach a conclusion based on evidence rather than direct statement.,"From the smoke, sirens, and Dad holding a blackened spatula, I inferred that dinner had encountered difficulties.",deduce; conclude; surmise; reason,Claude-Generated 1
ingenuous,"Innocent, sincere, and straightforward; lacking worldly sophistication.","Her ingenuous question—""Why don't politicians just tell the truth?""—caused three adults to stare silently at their shoes.",naive; candid; innocent; sincere,Claude-Generated 1
inherent,Existing as a natural or essential part of something.,There is an inherent risk in letting a toddler carry an open cup of grape juice across a white carpet.,intrinsic; innate; built-in; essential,Claude-Generated 1
insidious,Gradually and secretly causing harm.,The insidious habit of checking one notification somehow turned into forty-five minutes of watching videos about raccoons.,subtle; stealthy; treacherous; pernicious,Claude-Generated 1
insinuate,"To suggest something indirectly, often something unpleasant.",Are you insinuating that my famous casserole is unpopular just because everyone ordered pizza afterward?,imply; suggest; hint; intimate,Claude-Generated 1
insolent,Boldly rude and disrespectful.,"The insolent parrot called Grandpa ""old man"" and then demanded a cracker.",impudent; disrespectful; impertinent; brazen,Claude-Generated 1
integrity,Honesty and strong moral principles; wholeness or soundness.,"Showing great integrity, Leo returned the wallet he found, although he did ask whether there was a finder's-fee dessert.",honesty; probity; uprightness; honor,Claude-Generated 1
intrepid,Fearless and adventurous.,"The intrepid camper entered the dark woods armed with a flashlight, bug spray, and unreasonable confidence.",fearless; brave; bold; adventurous,Claude-Generated 1
intrinsic,Belonging naturally and essentially to something.,The intrinsic appeal of bubble wrap is that every sheet silently begs to be destroyed.,inherent; innate; essential; fundamental,Claude-Generated 1
jaded,"Tired, bored, or lacking enthusiasm after too much exposure.","After attending six birthday parties in one weekend, the jaded eight-year-old evaluated cake with the severity of a restaurant critic.",weary; cynical; bored; blasé,Claude-Generated 1
jubilant,Extremely joyful and triumphant.,"The team was jubilant after winning, although half the players still did not understand the rules.",elated; triumphant; ecstatic; overjoyed,Claude-Generated 1
judicious,Showing wise and careful judgment.,A judicious person adds hot sauce one drop at a time; Uncle Pete apparently prefers the volcanic method.,wise; prudent; sensible; discerning,Claude-Generated 1
juxtapose,To place things side by side for comparison or contrast.,The museum juxtaposed a priceless Renaissance painting with a vending machine that kept eating dollars.,compare; contrast; place side by side; align,Claude-Generated 1
lament,"To express grief, sorrow, or regret.",Dad lamented the demise of his favorite recliner as though it had served bravely in several wars.,mourn; grieve; deplore; bewail,Claude-Generated 1
latent,Present but hidden or not yet active.,"My latent athletic ability remains extremely well hidden, despite years of searching.",dormant; concealed; undeveloped; potential,Claude-Generated 1
laud,To praise highly.,"The newspaper lauded the chef's creativity before learning that the ""deconstructed lasagna"" had simply fallen on the floor.",praise; acclaim; extol; commend,Claude-Generated 1
lethargic,"Sluggish, tired, and lacking energy.","After Thanksgiving dinner, I became so lethargic that changing television channels felt unnecessarily athletic.",sluggish; listless; torpid; drowsy,Claude-Generated 1
listless,"Lacking energy, enthusiasm, or interest.",The listless teenager responded to winning a free vacation with a shrug because the announcement interrupted his nap.,lethargic; apathetic; languid; sluggish,Claude-Generated 1
loquacious,Very talkative.,The loquacious barber finished my haircut in twelve minutes and his story about fishing in forty-seven.,talkative; garrulous; verbose; chatty,Claude-Generated 1
lucrative,Producing a great deal of profit.,The child's lemonade stand became surprisingly lucrative after she began charging adults five dollars to avoid hearing her recorder practice.,profitable; rewarding; remunerative; gainful,Claude-Generated 1
magnanimous,"Generous and forgiving, especially toward a rival or weaker person.","After crushing me at chess, Grandma was magnanimous enough not to mention it again until breakfast.",generous; noble; forgiving; bighearted,Claude-Generated 1
malevolent,Having or showing a desire to cause harm.,The printer displayed a malevolent red light and swallowed my final sheet of résumé paper before the interview.,malicious; evil; spiteful; hostile,Claude-Generated 1
malleable,"Able to be shaped, bent, or influenced easily.",The clay was malleable; my grandfather's opinion about thermostat settings was not.,pliable; flexible; moldable; adaptable,Claude-Generated 1
maverick,An independent-minded person who refuses to follow convention.,The office maverick rejected the dress code and arrived Friday wearing a cape and excellent boots.,nonconformist; individualist; rebel; iconoclast,Claude-Generated 1
meager,"Small, inadequate, or lacking in quantity or quality.",My meager lunch consisted of three crackers and the emotional memory of breakfast.,scanty; sparse; inadequate; paltry,Claude-Generated 1
meander,To wander without a direct course; to ramble in speech or thought.,Grandpa's story meandered from his first car to the Roman Empire before anyone remembered the original question.,wander; ramble; drift; wind,Claude-Generated 1
mundane,"Ordinary, routine, and lacking excitement.","The superhero's most mundane duty was sorting recycling, although he did wear the cape.",ordinary; commonplace; routine; prosaic,Claude-Generated 1
myopic,"Nearsighted; figuratively, lacking long-term perspective.",The company's myopic plan saved twelve dollars today and created a problem requiring three lawyers tomorrow.,shortsighted; narrow; limited; nearsighted,Claude-Generated 1
nebulous,"Vague, unclear, or poorly defined.","My weekend plans were nebulous: something involving food, possibly pants, and definitely no alarm clock.",vague; hazy; unclear; amorphous,Claude-Generated 1
negligent,Failing to give proper care or attention.,"Leaving a toddler alone with permanent markers and a white couch was, in retrospect, negligent.",careless; remiss; inattentive; irresponsible,Claude-Generated 1
nonchalant,"Calm and unconcerned, often surprisingly so.","He remained nonchalant while the canoe filled with water, casually asking whether anyone had brought towels.",unconcerned; casual; cool; indifferent,Claude-Generated 1
nostalgia,A sentimental longing for the past.,The dial-up modem sound filled Dad with nostalgia and everyone under twenty with alarm.,sentimentality; reminiscence; longing; wistfulness,Claude-Generated 1
novice,A beginner with little experience.,"As a novice cook, I considered smoke an ingredient rather than a warning.",beginner; newcomer; apprentice; amateur,Claude-Generated 1
nuance,"A subtle distinction or variation in meaning, feeling, or expression.","The toddler had not yet mastered the nuance between ""inside voice"" and ""airport runway announcement.""",subtlety; distinction; shade; refinement,Claude-Generated 1
oblivious,Unaware of what is happening around oneself.,Dad remained oblivious to the bird on his hat until strangers began taking photographs.,unaware; heedless; unconscious; clueless,Claude-Generated 1
