word,definition,sentence,synonyms
Exacting / to exact,"Exacting means demanding great care or effort; to exact means to demand or obtain something, often forcefully.","The exacting piano teacher demanded perfect scales, then exacted payment in the form of cash and one suspiciously large lemon tart.",demanding; rigorous; require; extract
Facetious,"Joking about something serious, often inappropriately.","When the canoe sprang a leak, Marcus facetiously asked whether anyone had brought a submarine.",flippant; joking; tongue-in-cheek; unserious
Fastidious,Very attentive to detail and cleanliness; hard to please.,"The fastidious cat refused to sit on the couch until I removed one crumb, two hairs, and what he considered an unacceptable decorative pillow.",meticulous; exacting; particular; fussy
Mutually exclusive,Unable to both be true or happen at the same time.,"My goals of 'eat the entire cake' and 'save the entire cake for tomorrow' were, tragically, mutually exclusive.",incompatible; contradictory; nonoverlapping
Nadir,The lowest or worst point.,My culinary career reached its nadir when the smoke alarm applauded my grilled cheese before I did.,low point; bottom; rock bottom
Pervasive,Spread throughout something; widespread.,The smell of burnt popcorn was so pervasive that even the goldfish looked annoyed.,widespread; prevalent; ubiquitous; extensive
Postulate,To suggest or assume something as a basis for reasoning.,"I postulate that the missing cookies were eaten by Dad, based on the crumbs in his beard and his refusal to testify.",propose; hypothesize; assume; posit
Qualify,To meet requirements; or to limit or modify a statement.,"I qualified for the pie-eating contest, though I should qualify that statement by admitting there were only two contestants and the other was a toddler.",be eligible; modify; limit; specify
Salient,"Most noticeable, important, or relevant.",The salient feature of Trevor's presentation was not the chart; it was the raccoon quietly eating his laser pointer.,prominent; important; notable; relevant
Sanction,"To officially permit or approve; paradoxically, also to impose a penalty for wrongdoing.",The league sanctioned the mascot race but threatened sanctions after the eagle mascot tackled the hot dog at midfield.,authorize; approve; penalize; punish
Spurious,"False, fake, or not based on valid reasoning.",His spurious claim that homework causes baldness collapsed when the teacher asked why he still had so much hair.,false; bogus; counterfeit; specious
Tacit,Understood or implied without being directly stated.,"There was a tacit agreement not to mention Dad's karaoke performance, especially while the neighbors were still filing complaints.",implicit; unspoken; understood; implied
Unequivocal,Clear and leaving no doubt.,"Mom's unequivocal answer to 'Can I keep this raccoon?' was 'No,' followed by several additional noes for emphasis.",unambiguous; definite; explicit; certain
abate,To become less intense or widespread.,The applause finally abated when everyone realized the 'famous actor' was just Uncle Steve in sunglasses.,subside; diminish; lessen; ease
aberration,A departure from what is normal or expected.,My brother cleaning his room voluntarily was such an aberration that we checked him for fever.,anomaly; deviation; irregularity; exception
abridge,To shorten a text without losing its main meaning.,"I abridged my twelve-page apology to 'Sorry about the llama,' which everyone agreed captured the essentials.",shorten; condense; abbreviate; compress
abstruse,Difficult to understand; obscure.,The professor's abstruse explanation of quantum mechanics left me understanding only that particles are apparently very indecisive.,obscure; arcane; complex; incomprehensible
accord,Agreement or harmony; also to grant or give.,"The siblings reached an accord: Mia got the top bunk, and Leo was accorded the sacred right to control the night-light.",agreement; harmony; grant; bestow
acquiesce,To accept something reluctantly but without protest.,"After forty-seven minutes of begging, Dad acquiesced and allowed the inflatable dinosaur to sit at the dinner table.",consent; comply; submit; yield
acquit,To declare someone not guilty of a crime or accusation.,The jury acquitted the dog of stealing the steak after compelling evidence showed the cat wearing barbecue sauce.,exonerate; absolve; clear; vindicate
acrimony,Bitter anger or hostility.,"The family Monopoly game ended in acrimony after Grandma built hotels, bankrupted everyone, and demanded respect for her 'business instincts.'",bitterness; hostility; rancor; animosity
actuate,To cause a machine or process to operate; to put into action.,"Pressing the red button actuated the robot, which immediately stole my sandwich and declared itself management.",activate; trigger; initiate; operate
adages,"Old, well-known sayings expressing general truths.","Grandpa communicated almost entirely in adages, including several he clearly invented while losing at checkers.",proverbs; maxims; sayings; aphorisms
adulterate,To make something poorer or impure by adding an inferior substance.,My cousin adulterated the chili with chocolate syrup and then had the nerve to call himself an innovator.,contaminate; dilute; debase; taint
advent,"The arrival or beginning of an important event, person, or thing.","With the advent of group chats, teenagers gained the ability to misunderstand one another at unprecedented speed.",arrival; onset; emergence; beginning
affected,"Artificial, pretentious, or deliberately adopted rather than natural.",His affected British accent vanished the instant he stubbed his toe and shouted in pure New Jersey.,pretentious; artificial; mannered; contrived
aggregate,A total formed by combining separate things; also to combine them.,"In the aggregate, the twins owned 143 stuffed animals, nine of which had somehow been elected to public office.",total; sum; collective; combine
alter (vs altar),Alter means to change; an altar is a raised or sacred table used in worship or ceremony.,"The tailor altered my suit; thankfully, he did not place it on an altar and begin chanting over the sleeves.",change; modify; adjust; altar=sacred table
ambulatory,Able to walk; relating to walking or outpatient care.,The doctor declared Grandpa ambulatory moments before Grandpa sprinted down the hallway chasing the pudding cart.,mobile; walking; outpatient
amenable,Willing to agree or cooperate; responsive to influence.,The principal was amenable to our proposal until he reached the sentence involving a cafeteria zip line.,agreeable; cooperative; receptive; compliant
amity,Friendly relations or peaceful harmony.,Years of sibling warfare ended in amity when both children discovered a common enemy: the new babysitter's vegetable casserole.,friendship; harmony; goodwill; concord
amorphous,"Without a clear shape, structure, or organization.",The 'sculpture' was an amorphous blob of clay that I confidently titled 'Tax Season.',shapeless; formless; vague; unstructured
assent,"Agreement or approval, especially after consideration.",Dad gave his assent to the sleepover after making us sign a treaty banning indoor hockey.,consent; agreement; approval; concurrence
augment,To make something larger or greater by adding to it.,"I augmented my résumé by adding 'advanced dragon negotiation,' which may have been a strategic mistake.",increase; enlarge; enhance; supplement
auspicious,Suggesting that future success is likely; favorable.,"The wedding had an auspicious start when the ring was found, the cake remained upright, and no peacocks escaped.",promising; favorable; propitious; fortunate
avant-garde,"New, experimental, and unconventional, especially in art.",The chef called his ketchup-on-ice-cream creation avant-garde; the children called it a cry for help.,experimental; innovative; unconventional; cutting-edge
banal,So ordinary or overused that it is boring.,His speech was so banal that even the motivational poster seemed to roll its eyes.,trite; clichéd; commonplace; dull
beleaguer,"To trouble, harass, or surround with difficulties.","The beleaguered substitute teacher faced thirty students, a broken projector, and a hamster with suspicious leadership skills.",beset; harass; trouble; overwhelm
bombastic,"Using grand, inflated language with little substance.",The mayor's bombastic speech described the new parking meter as 'a monumental triumph of human civilization.',pompous; grandiose; inflated; pretentious
bungler,A person who performs tasks clumsily or incompetently.,The bungler hired to fix the sink somehow disabled the doorbell and improved the toaster.,blunderer; incompetent; klutz; botcher
buoyant,Able to float; cheerful and optimistic.,"Despite falling into the pool fully dressed, Clara remained buoyant both physically and emotionally.",afloat; cheerful; upbeat; optimistic
buttress,"To support, strengthen, or reinforce.","Dad buttressed his argument that we needed a puppy with charts, expert testimony, and a PowerPoint titled 'Operation Fluffy.'",support; reinforce; bolster; strengthen
capricious,Changing suddenly and unpredictably.,"The capricious toddler loved bananas on Monday, despised them Tuesday, and by Wednesday demanded they be addressed as 'Your Majesty.'",fickle; unpredictable; mercurial; whimsical
castigate,To criticize or punish severely.,The coach castigated us for arriving late as though we'd delayed the moon landing rather than seventh-grade soccer practice.,rebuke; reprimand; scold; censure
circuitous,Longer and less direct than necessary.,Dad took a circuitous route to avoid traffic and somehow drove us through three states and a llama festival.,indirect; roundabout; winding; meandering
circumspection,Careful consideration of risks before acting.,"With admirable circumspection, Maya asked whether launching a potato cannon indoors might have consequences.",caution; prudence; wariness; discretion
cognizant,Aware or conscious of something.,"I was cognizant of the 'Do Not Feed the Bears' sign, but the bear appeared extremely cognizant of my sandwich.",aware; conscious; mindful; informed
combustible,Able to catch fire and burn easily.,"The science teacher calmly moved the combustible materials away from Ethan, who had already asked whether eyebrows grow back.",flammable; ignitable; burnable
commodious,Spacious and comfortable.,The hamster's new cage was so commodious that it had a breakfast nook and better closet space than my apartment.,spacious; roomy; ample; capacious
conciliate,To calm hostility and restore goodwill.,I tried to conciliate the furious twins by offering each an identical cookie and appointing the dog as neutral mediator.,appease; reconcile; placate; pacify
concord,Agreement or harmony between people or groups.,Peace and concord returned to the car once everyone agreed that Dad's playlist was a human-rights violation.,harmony; agreement; accord; unity
contend,To argue or assert; also to compete or struggle.,"My brother contended that he deserved the last brownie because he had 'suffered greatly,' meaning he had waited almost six minutes.",argue; maintain; assert; compete
corroborate,To confirm or support a statement with additional evidence.,"Three witnesses corroborated my story that the dog opened the refrigerator, though all three witnesses were also dogs.",confirm; substantiate; verify; support
corrugated,Shaped into alternating ridges and grooves.,The corrugated cardboard box looked ordinary until Grandma announced it was my cousin's new 'budget sports car.',ridged; grooved; fluted
debase,"To lower the quality, value, dignity, or character of something.",The museum director said putting googly eyes on the marble bust would debase the collection; I maintain it improved morale.,degrade; cheapen; demean; corrupt
decry,To publicly condemn or criticize.,The neighborhood association decried leaf blowers with the passion usually reserved for invading armies.,condemn; denounce; criticize; deplore
deference,Respectful submission to another person's judgment or authority.,"Out of deference to Grandma, everyone pretended her brick-like fruitcake was 'delightfully substantial.'",respect; regard; submission; reverence
demarcate,To clearly mark a boundary or distinction.,Yellow tape demarcated the kitchen after Dad's attempt at flambé created what the fire department called 'a learning opportunity.',delineate; delimit; mark; separate
depravity,Extreme moral corruption or wickedness.,"Stealing one cookie was naughty; stealing the entire tray and blaming the baby was, according to Grandma, depravity.",wickedness; corruption; immorality; vice
deprecate,To express disapproval of; to belittle or play down.,She deprecated her own artistic talent while standing beside a portrait so good that the dog barked at it.,disapprove; belittle; disparage; downplay
desecrate,To treat something sacred or respected with violent disrespect.,Putting a soda cup on Grandma's antique piano was treated as an act of desecration requiring immediate family court.,profane; violate; defile; dishonor
desiccate,To remove moisture from; to dry out thoroughly.,The forgotten muffin had desiccated into an object suitable for either geology class or self-defense.,dry; dehydrate; parch; shrivel
despondent,"Extremely discouraged, sad, or without hope.","I became despondent when the ice-cream truck drove past me, then circled back only to serve the neighbor's dog.",dejected; hopeless; gloomy; crestfallen
desultory,"Lacking a plan, purpose, or steady effort; jumping from one thing to another.","My desultory cleaning involved folding one sock, reading a comic, watering a spoon, and declaring the room improved.",aimless; haphazard; unfocused; random
determinate,"Precisely fixed, defined, or limited.",The meeting had a determinate end time because at 6:00 the building was hosting competitive ferret yoga.,definite; fixed; precise; bounded
diatribe,"A long, bitter, angry speech or piece of writing.",Dad launched into a twenty-minute diatribe about people who leave one teaspoon of milk in the carton.,tirade; rant; denunciation; harangue
diffidence,Modesty or shyness caused by lack of self-confidence.,"Despite her diffidence, Nora eventually whispered her brilliant answer while the loudest student confidently explained why dolphins are fish.",shyness; timidity; reserve; self-doubt
discrepancy,A difference or inconsistency between things that should agree.,There was a discrepancy between my brother's claim of eating 'one cookie' and the seventeen wrappers in his pockets.,inconsistency; difference; mismatch; contradiction
discursive,Moving from topic to topic rather than staying tightly focused.,"Grandpa's discursive toast began with the bride, wandered through lawn care, and ended with a warning about raccoons.",rambling; digressive; meandering; unfocused
dispassionate,Not influenced by strong emotion; impartial.,The judge gave a dispassionate ruling on the disputed cupcake while both children sobbed like exiled monarchs.,impartial; objective; detached; unbiased
dispatch,To send off quickly for a purpose; also to deal with promptly.,"Mom dispatched me to the store for milk, and I dispatched the errand in six minutes until I remembered I had bought orange juice.",send; expedite; complete; dispose of
disrepute,A state of having a bad reputation.,The restaurant fell into disrepute after its slogan changed to 'Probably Soup.',disgrace; infamy; dishonor; bad reputation
dissonance,A lack of harmony or agreement; harsh-sounding musical combinations.,There was striking dissonance between the choir's angelic melody and the tuba player's decision to perform the theme from Jaws.,discord; conflict; disharmony; incongruity
distend,To swell or expand because of pressure from inside.,"After Thanksgiving dinner, my stomach seemed to distend until my belt filed a formal complaint.",swell; expand; inflate; bulge
draconian,Extremely harsh or severe.,The teacher's draconian policy imposed detention for forgetting a pencil and exile for misplacing an eraser.,harsh; severe; oppressive; stringent
duplicitous,Deceitful by pretending one thing while doing another.,The duplicitous cat purred affectionately while slowly pushing my water glass toward the edge of the table.,deceitful; dishonest; two-faced; treacherous
edict,An official order or proclamation issued by an authority.,"Dad issued an edict banning glitter after discovering it in his shoes, wallet, soup, and apparently bloodstream.",decree; order; proclamation; mandate
emaciated,"Abnormally thin or weak, especially from lack of food.","The actor looked emaciated for the role, while his pampered pug looked like it owned several restaurants.",gaunt; skeletal; wasted; thin
embroil,To involve someone deeply in a conflict or difficult situation.,I became embroiled in the neighborhood feud after innocently asking whose garden gnome was wearing my hat.,entangle; involve; implicate; enmesh
enmity,Deep hostility or hatred.,A state of permanent enmity existed between our cat and the vacuum cleaner.,hostility; hatred; animosity; antagonism
ersatz,Artificial and inferior; a substitute imitation.,The motel served ersatz maple syrup so suspicious that even the pancakes seemed embarrassed.,fake; imitation; artificial; substitute
euphemism,A mild expression used instead of one considered harsh or unpleasant.,Calling Dad's snoring 'nighttime thunder' was a generous euphemism that fooled absolutely nobody.,substitute expression; understatement; circumlocution
euphonious,Pleasant and smooth-sounding.,The word 'mellifluous' sounded euphonious until my brother repeated it forty-seven times in the car.,melodious; harmonious; musical; pleasant-sounding
evanescent,Quickly fading or disappearing.,My determination to diet was evanescent; it vanished the moment someone opened a box of doughnuts.,fleeting; transient; ephemeral; vanishing
exhume,"To dig up something buried, especially a corpse.",We exhumed the time capsule and discovered that our 2009 predictions involved flying cars and an alarming amount of Silly Bandz.,unearth; disinter; dig up
extrinsic,Coming from outside rather than being inherent.,"The trophy provided extrinsic motivation; my intrinsic motivation was mainly to beat Trevor, who had been smug since breakfast.",external; outside; acquired; noninherent
fallow,Plowed but left unseeded; inactive or undeveloped for a time.,My exercise plan lay fallow all winter while my couch enjoyed unprecedented prosperity.,unused; dormant; uncultivated; inactive
fanaticism,"Extreme, unquestioning enthusiasm or zeal.",His fanaticism about barbecue sauce became apparent when he brought six bottles to a wedding and ranked the hors d'oeuvres by 'sauce compatibility.',zealotry; extremism; obsession; fervor
fetid,Having an extremely unpleasant smell.,The fetid gym bag had developed an odor so powerful that TSA asked it for identification.,foul; rancid; putrid; malodorous
fetter,"To restrain or restrict, literally or figuratively.",School rules fettered my entrepreneurial plan to sell espresso shots during kindergarten recess.,restrain; shackle; constrain; hamper
fiasco,A complete and embarrassing failure.,The surprise party became a fiasco when we surprised the wrong Mr. Jenkins and he stayed for cake anyway.,disaster; debacle; failure; catastrophe
firebrand,A person who passionately stirs up change or conflict.,"The twelve-year-old firebrand demanded longer recess, cheaper cookies, and immediate recognition of the cafeteria workers' accordion band.",agitator; radical; provocateur; rabble-rouser
fitful,"Irregular, intermittent, or restless.",I got fitful sleep because the hotel air conditioner alternated between roaring like a jet and becoming mysteriously silent.,sporadic; intermittent; restless; uneven
flout,"To openly disregard a rule, law, or convention.",My uncle flouted the 'formal attire' rule by arriving at the wedding in swim fins and a bow tie.,defy; disregard; violate; scorn
forestall,To prevent or delay something by acting in advance.,I ate a snack to forestall hunger and accidentally forestalled dinner by consuming an entire lasagna.,prevent; avert; preempt; delay
gall,Bold and irritating nerve; also bitterness.,"He had the gall to borrow my car, return it empty, and complain that I had chosen an inconvenient gas gauge.",audacity; nerve; impudence; brazenness
galvanize,To shock or excite someone into taking action.,The announcement that the pizza shop was closing galvanized the neighborhood into organizing its fastest protest in recorded history.,motivate; spur; energize; rouse
guile,Clever deceit or sly cunning.,"With remarkable guile, the toddler distracted us by pointing at the ceiling while stealing three cupcakes.",cunning; craftiness; deceit; slyness
hackneyed,Overused and unoriginal.,"The movie's hackneyed ending featured a slow clap, a sunset, and someone saying, 'Maybe the real treasure was friendship.'",clichéd; trite; stale; banal
iconoclast,A person who challenges cherished beliefs or traditions.,The family iconoclast suggested replacing Thanksgiving turkey with tacos and was nearly written out of the will.,nonconformist; rebel; dissenter; radical
impecunious,Having little or no money.,"After buying concert tickets, I was so impecunious that I compared prices on individual grains of rice.",penniless; broke; poor; impoverished
impel,To drive or urge someone to act.,The smell of fresh cinnamon rolls impelled me toward the kitchen with the speed of a highly motivated gazelle.,drive; compel; propel; urge
imperious,Arrogantly commanding and expecting obedience.,"My cat gave an imperious meow that clearly meant, 'Open the tuna now, peasant.'",domineering; commanding; haughty; overbearing
impervious,"Unable to be affected, penetrated, or harmed.",Grandpa was impervious to embarrassment and wore his 'World's Hottest Grandpa' shirt to the parent-teacher conference.,unaffected; resistant; impenetrable; immune
impetuous,Acting suddenly without enough thought.,"In an impetuous moment, Leo bought a unicycle online despite having neither balance nor any known reason to own one.",rash; impulsive; hasty; reckless
impetus,A force or reason that makes something happen faster.,The discovery of a mouse provided tremendous impetus for cleaning the kitchen.,stimulus; motivation; momentum; spur
incisive,"Clear, sharp, and intelligently analytical.",Her incisive question—'Why is there a goat in the conference room?'—cut directly to the central problem.,penetrating; sharp; perceptive; astute
incorrigible,Impossible or very difficult to correct or reform.,My incorrigible uncle still hides plastic spiders in the sugar bowl despite twenty years of family sanctions.,unreformable; hopeless; inveterate; unmanageable
indelible,"Impossible to remove, erase, or forget.",The purple dye left an indelible mark on the carpet and an even more indelible mark on Dad's emotional life.,permanent; lasting; ineradicable; unforgettable
infernal,Extremely annoying or hellish; relating to hell.,That infernal smoke detector chirped every forty seconds until I began negotiating with it personally.,hellish; cursed; maddening; diabolical
inscrutable,Impossible or very difficult to understand.,The cat's expression was inscrutable as he stared at the wall for eleven minutes and then attacked a sock.,mysterious; enigmatic; unfathomable; obscure
insipid,"Lacking flavor, vigor, or interest.",The soup was so insipid that the salt shaker requested permission to intervene.,bland; dull; tasteless; vapid
insolvent,Unable to pay debts owed.,"After opening a lemonade stand with marble counters and valet parking, the eight-year-old entrepreneur was insolvent by noon.",bankrupt; broke; unable to pay
instigate,"To cause or provoke an event or action, often trouble.","My cousin instigated the food fight by launching one pea and whispering, 'History will remember us.'",provoke; incite; initiate; foment
insular,Narrow-minded or isolated from outside ideas or influences.,The club became so insular that members regarded people from the next hallway as mysterious foreigners.,isolated; narrow-minded; inward-looking; parochial
inter,To bury a dead body.,"We interred the deceased goldfish with full honors, a tiny shoebox, and a eulogy that lasted longer than its life.",bury; entomb; inhumate
inundate,To overwhelm with a flood or huge amount of something.,"After posting a puppy photo, I was inundated with messages from relatives who had ignored me for months.",flood; overwhelm; swamp; deluge
invective,Abusive or insulting language.,"The coach unleashed a torrent of invective at the broken vending machine, which remained emotionally unaffected.",abuse; vitriol; denunciation; insults
irascible,Easily angered or bad-tempered.,Our irascible neighbor once yelled at a cloud for 'looking suspicious.',irritable; cranky; hot-tempered; testy
jettison,"To throw away or discard something, especially to lighten a load.","To make room in the car, Dad jettisoned three beach chairs, a broken umbrella, and somehow my left shoe.",discard; dump; abandon; eject
jocular,Fond of joking; humorous and playful.,"The jocular dentist called the drill 'Mr. Buzzy,' which did not improve Mr. Buzzy's reputation.",jovial; humorous; playful; merry
lame,"Weak, unconvincing, or unsatisfactory; traditionally also unable to walk normally.","'My hamster ate my homework' was a lame excuse, especially because I do not own a hamster.",weak; unconvincing; feeble; poor
larceny,The unlawful taking of someone else's personal property.,"The toddler's cookie larceny was captured on camera, along with his attempt to hide the evidence in his socks.",theft; stealing; robbery
luxuriant,"Rich, abundant, and growing thickly.","After one humid week, the garden became so luxuriant that we lost a lawn chair and possibly an uncle.",lush; abundant; profuse; rich
maladroit,"Clumsy, awkward, or tactless.","His maladroit attempt at romance involved stepping on her foot, spilling soup, and complimenting her 'surprisingly normal elbows.'",clumsy; awkward; inept; tactless
mercurial,Changing mood or behavior quickly and unpredictably.,"The mercurial chef praised my omelet, insulted the pan, hugged a carrot, and resigned before breakfast ended.",volatile; fickle; capricious; changeable
mire,To trap or become stuck in a difficult situation; also swampy ground.,Our committee became mired in a forty-minute debate over whether the meeting snacks counted as 'strategic resources.',entangle; bog down; trap; swamp
misanthrope,A person who dislikes or distrusts humankind.,"The neighborhood misanthrope installed a welcome mat reading, 'You Have Made a Mistake.'",cynic; recluse; humanity-hater
mollify,To calm someone's anger or anxiety.,I tried to mollify Dad after denting the car by pointing out that the dent was remarkably symmetrical.,appease; pacify; soothe; placate
neologism,A newly invented word or expression.,My sister's neologism 'snackcident' describes accidentally eating an entire family-size bag of chips.,coinage; new word; newly coined term
obfuscate,To make something unclear or harder to understand.,The politician obfuscated his answer so thoroughly that by the end we were discussing turnips and no one remembered the question.,confuse; obscure; cloud; muddle
obtrusive,Noticeably intrusive or difficult to ignore.,The waiter was unobtrusive; the mariachi band following him to every table was decidedly obtrusive.,intrusive; conspicuous; prominent; glaring
opulence,"Great wealth, luxury, or abundance.","The hamster cage's opulence included velvet bedding, a chandelier, and a tiny portrait of the hamster itself.",luxury; splendor; richness; magnificence
ostensibly,"Apparently or supposedly, though perhaps not actually.","We went to the mall ostensibly to buy socks, but somehow returned with a kayak.",apparently; supposedly; seemingly; professedly
ostentatious,"Designed to impress by showing off wealth, knowledge, or importance.","His ostentatious pencil case was gold-plated, monogrammed, and opened with its own theme music.",showy; flashy; pretentious; gaudy
patina,A surface layer or appearance that develops with age or use.,The antique desk had a lovely patina; my desk had a similar effect created mostly by spilled coffee.,sheen; coating; surface; aged finish
penchant,A strong or habitual liking for something.,"Grandma has a penchant for dramatic hats, particularly ones capable of blocking satellite signals.",fondness; preference; inclination; taste
perennially,Continuing or recurring for a very long time; year after year.,Our team is perennially optimistic in September and perennially discussing 'next season' by October.,continually; persistently; annually; repeatedly
perfunctory,"Done with minimal effort, interest, or care.",He gave the dishes a perfunctory rinse that somehow left the spaghetti exactly where it had started.,cursory; mechanical; superficial; halfhearted
parsimony,Extreme unwillingness to spend money or use resources.,Grandpa's parsimony reached new heights when he cut a paper towel into eight 'perfectly adequate' napkins.,stinginess; frugality; miserliness; thrift
perspicacious,Having keen judgment and insight.,The perspicacious toddler immediately realized that adults saying 'maybe later' meant 'absolutely never.',perceptive; discerning; astute; insightful
petulant,Childishly sulky or bad-tempered.,The petulant CEO crossed his arms and refused to continue the meeting because someone took his favorite swivel chair.,sulky; peevish; childish; irritable
piety,Devout religious reverence; also dutiful respect.,"Grandma's piety was unquestioned, though even she briefly lost composure when the choir director started beatboxing.",devotion; reverence; devoutness; faithfulness
placate,To make someone less angry or hostile.,"We placated the furious toddler with crackers, a sticker, and temporary control of the family government.",appease; pacify; mollify; soothe
plaintive,"Sounding sad, mournful, or wistful.","The dog's plaintive whine suggested he had not eaten in years, despite the kibble visibly stuck to his nose.",mournful; wistful; melancholy; sorrowful
plenitude,A large or abundant supply.,"The buffet offered a plenitude of desserts, and I approached it with the solemn focus of an Olympic athlete.",abundance; plenty; profusion; wealth
portend,"To indicate that something, usually significant or unpleasant, is likely to happen.",The sudden silence from the children's room portended either sleep or an insurance claim.,foreshadow; presage; signal; predict
preclude,To prevent something from happening or make it impossible.,My complete lack of rhythm did not preclude me from dancing; it merely precluded everyone else from enjoying it.,prevent; prohibit; rule out; forestall
precluding,Preventing something from happening or making it impossible.,"The broken elevator was precluding Grandma's dramatic entrance, so she used the stairs and arrived even more dramatically.",preventing; barring; excluding; ruling out
precocious,Showing unusually advanced ability at a young age.,"The precocious five-year-old corrected my grammar, explained compound interest, and then demanded dinosaur-shaped pasta.",advanced; gifted; mature; ahead
predilection,A preference or special liking for something.,My uncle's predilection for Hawaiian shirts makes every family photo look like a tropical emergency.,preference; penchant; inclination; partiality
preeminent,Superior to or more important than all others.,"Professor Whiskers was the preeminent expert on cardboard boxes, mostly because he was a cat and had conducted years of fieldwork.",foremost; leading; supreme; distinguished
prescient,Having knowledge or foresight about what will happen.,"Mom looked prescient when she packed extra towels, snacks, batteries, and apparently everything needed for a minor apocalypse.",foresighted; prophetic; visionary; perceptive
prodigal,Wastefully extravagant with money or resources.,My prodigal cousin spent his entire allowance on a fog machine for his bedroom and then asked to borrow bus fare.,wasteful; extravagant; spendthrift; lavish
prodigious,"Remarkably great in size, amount, or degree.",The toddler produced a prodigious quantity of spaghetti from places no spaghetti should have been.,enormous; immense; extraordinary; tremendous
purveyor,A person or business that supplies or sells something.,"The corner shop is a purveyor of fine chocolates, mediocre umbrellas, and inexplicably aggressive greeting cards.",supplier; vendor; provider; seller
qualms about,"Feelings of doubt, uneasiness, or moral concern about something.","I had qualms about eating the mystery casserole after the chef whispered, 'Don't ask what the crunchy part is.'",misgivings; doubts; reservations; scruples
quandary,A difficult situation requiring a choice between options.,I faced a quandary: admit I broke the vase or let everyone continue blaming the extremely innocent-looking dog.,dilemma; predicament; bind; uncertainty
rancor,"Deep, lasting bitterness or resentment.",Years of rancor divided the two neighbors over a dispute that began with one borrowed wheelbarrow in 1998.,bitterness; resentment; acrimony; animosity
rapier,"A long, slender, sharply pointed sword; figuratively, something sharply witty.",Her rapier wit ended the argument with one sentence and left three uncles quietly reconsidering their lives.,sword; blade; wit; sharpness
raze,To completely destroy a building or structure.,"The developers razed the old shed, disappointing the raccoon family that had recently renovated the attic.",demolish; destroy; flatten; level
recant,To publicly withdraw a statement or belief.,I recanted my claim that assembling the bookshelf would be 'easy' approximately three screws and one existential crisis later.,retract; withdraw; renounce; disavow
redress,To remedy or correct a wrong; also compensation for a wrong.,The hotel offered free breakfast to redress the injustice of assigning us a room directly beside the accordion convention.,remedy; rectify; compensate; correct
