word,definition,sentences,synonyms,tags
encroach,"to gradually intrude on someone's territory or rights","Each night the cat encroaches further onto my pillow, and I now sleep on a windowsill.","intrude, trespass, infringe",Claude Bonus Words 1
endemic,"regularly found in a particular place or group","Losing exactly one sock per laundry load is endemic to our household.","native, prevalent, widespread",Claude Bonus Words 1
enervate,"to drain of energy or strength","One trip to the trampoline park enervated the entire birthday party, and the car ride home was silent.","exhaust, weaken, sap",Claude Bonus Words 1
epithet,"a descriptive nickname or an insulting label","After the casserole incident, Uncle Ted earned the epithet 'Captain Charcoal.'","nickname, label, moniker",Claude Bonus Words 1
equitable,"fair and impartial","Our equitable pizza policy states that whoever cuts the slices picks last, which has produced surgical precision.","fair, just, impartial",Claude Bonus Words 1
eulogy,"a speech praising someone, typically at a funeral","At the goldfish's funeral, my brother delivered a eulogy so moving that we forgot he was the one who overfed it.","tribute, homage, praise",Claude Bonus Words 1
exalt,"to praise highly or raise in status","The team exalted the lunch lady after she unveiled bottomless nacho Tuesdays.","glorify, praise, elevate",Claude Bonus Words 1
falter,"to lose strength or hesitate unsteadily","My confidence faltered when the waiter asked if I wanted the 'volcano challenge' wings and lit a small torch.","waver, stumble, hesitate",Claude Bonus Words 1
fatuous,"silly and pointless","His fatuous plan to train the goldfish to fetch lasted three very damp days.","foolish, inane, silly",Claude Bonus Words 1
feckless,"lacking initiative or usefulness; irresponsible","Our feckless group member contributed one comma to the entire project and demanded credit.","useless, ineffective, irresponsible",Claude Bonus Words 1
fidelity,"faithfulness; loyalty","The dog's fidelity is absolute, except when the neighbor grills burgers.","loyalty, devotion, faithfulness",Claude Bonus Words 1
flamboyant,"strikingly bold or showy","Grandpa's flamboyant bowling shirt can be seen from space and possibly heard from the parking lot.","showy, dazzling, ostentatious",Claude Bonus Words 1
fledgling,"a young bird or an inexperienced beginner","As a fledgling barista, I made a latte so bad the customer left a sympathy tip.","beginner, novice, rookie",Claude Bonus Words 1
fleeting,"lasting a very short time","My fame was fleeting: the video went viral Monday and by Friday I was once again just 'the sneeze kid's brother.'","brief, momentary, transient",Claude Bonus Words 1
foible,"a minor weakness or quirk in character","Naming every houseplant and greeting them individually is my endearing foible, according to me.","quirk, weakness, idiosyncrasy",Claude Bonus Words 1
foment,"to stir up trouble or rebellion","My sister fomented rebellion at the kids' table by whispering the phrase 'unlimited dessert.'","incite, provoke, instigate",Claude Bonus Words 1
forgo,"to give up or do without","I chose to forgo dessert, a decision I regretted with a burning intensity by 9 p.m.","relinquish, skip, renounce",Claude Bonus Words 1
forlorn,"sad, abandoned, and lonely","The single forlorn french fry at the bottom of the bag deserved a better fate.","desolate, dejected, abandoned",Claude Bonus Words 1
fraught,"filled with something undesirable, like danger or tension","The seating chart for Thanksgiving is fraught with politics only Grandma fully understands.","loaded, charged, tense",Claude Bonus Words 1
gaffe,"an embarrassing social blunder","Waving back at someone who was waving at the person behind me remains my signature gaffe.","blunder, faux pas, slip",Claude Bonus Words 1
gambit,"a calculated opening move or risky strategy","His gambit of complimenting Mom's haircut before asking for pizza money fooled no one.","ploy, maneuver, stratagem",Claude Bonus Words 1
garish,"unpleasantly bright and showy","The motel carpet was so garish that my eyes filed a formal complaint.","gaudy, loud, flashy",Claude Bonus Words 1
gaunt,"extremely thin and bony, often from hunger or illness","The gaunt scarecrow looked like it, too, had survived finals week.","haggard, bony, emaciated",Claude Bonus Words 1
genial,"friendly and cheerful","Our genial mail carrier waves at everyone, including the garden gnomes.","friendly, cordial, affable",Claude Bonus Words 1
germane,"relevant to the subject at hand","Your smoothie recipe, while intriguing, is not germane to this geometry test.","relevant, pertinent, applicable",Claude Bonus Words 1
glean,"to gather bits of information or leftovers slowly","From three overheard words and a gift bag, I gleaned that my surprise party was no longer a surprise.","gather, collect, extract",Claude Bonus Words 1
guise,"an outward appearance concealing the truth","Under the guise of 'checking on the cookies,' Dad ate six of them.","disguise, pretense, semblance",Claude Bonus Words 1
hallowed,"regarded as holy or greatly respected","No one sits in Grandpa's recliner; it is hallowed ground with a cup holder.","sacred, revered, holy",Claude Bonus Words 1
hapless,"unlucky; unfortunate","The hapless delivery driver arrived during the water balloon fight and left during it, too.","unlucky, unfortunate, ill-fated",Claude Bonus Words 1
harbinger,"a sign of things to come","The first pumpkin spice ad is the true harbinger of autumn, arriving promptly in July.","omen, forerunner, herald",Claude Bonus Words 1
harrowing,"extremely distressing or frightening","Assembling the bunk bed with only a cartoon diagram and Dad's optimism was a harrowing ordeal.","distressing, terrifying, traumatic",Claude Bonus Words 1
heinous,"utterly wicked or shockingly evil","Eating the last slice and leaving the empty box in the fridge is a heinous act in this household.","atrocious, monstrous, vile",Claude Bonus Words 1
heterogeneous,"made up of varied, dissimilar parts","The potluck table was a heterogeneous landscape of casseroles, sushi, and one mysterious orange gelatin.","diverse, mixed, varied",Claude Bonus Words 1
hoard,"to accumulate and hide away a supply of something","The squirrel hoarded so many acorns in our grill that Dad's burgers now taste faintly of forest.","stockpile, amass, squirrel away",Claude Bonus Words 1
hubris,"excessive pride that leads to a downfall","With pure hubris, he declared the spice level 'weak' seconds before requesting a gallon of milk.","arrogance, overconfidence, pride",Claude Bonus Words 1
ignominy,"public shame or disgrace","He endured the ignominy of tripping during graduation and then again during the do-over walk.","disgrace, humiliation, dishonor",Claude Bonus Words 1
imbue,"to fill or saturate with a quality or feeling","Grandma imbues every sweater she knits with love and approximately four sizes of extra room.","infuse, permeate, saturate",Claude Bonus Words 1
immaculate,"perfectly clean or flawless","His room was immaculate, which immediately told Mom he had shoved everything under the bed.","spotless, pristine, flawless",Claude Bonus Words 1
impasse,"a deadlock where no progress is possible","The thermostat negotiations reached an impasse, and both sides began secretly adjusting it at night.","deadlock, stalemate, standstill",Claude Bonus Words 1
impromptu,"done without planning or preparation","The power outage led to an impromptu shadow puppet show, and Dad's 'bunny' won an imaginary Oscar.","unplanned, spontaneous, offhand",Claude Bonus Words 1
impugn,"to attack as false or question the honesty of","How dare you impugn my navigation skills; we were only lost for four hours.","challenge, dispute, question",Claude Bonus Words 1
impunity,"freedom from punishment or consequences","The toddler operates with total impunity, redecorating walls in crayon while adults applaud.","immunity, exemption, license",Claude Bonus Words 1
incendiary,"designed to cause fires or stir up conflict","Her incendiary claim that cereal is 'just breakfast soup' ended three friendships at the lunch table.","inflammatory, provocative, explosive",Claude Bonus Words 1
indict,"to formally charge with a crime","The jury of my siblings indicted me for crimes against the last brownie.","charge, accuse, prosecute",Claude Bonus Words 1
indigent,"poor; needy","The formerly indigent inventor made a fortune selling umbrellas for dogs.","poor, impoverished, destitute",Claude Bonus Words 1
indomitable,"impossible to defeat or discourage","The ant's indomitable spirit carried an entire potato chip across the picnic blanket while we cheered.","unconquerable, invincible, unyielding",Claude Bonus Words 1
inert,"unable to move or act; sluggish","After Thanksgiving dinner, the entire family lay inert, like well-dressed boulders.","motionless, inactive, sluggish",Claude Bonus Words 1
inexorable,"impossible to stop or persuade","The inexorable advance of Monday cannot be halted by any amount of Sunday-night dread.","relentless, unstoppable, unyielding",Claude Bonus Words 1
ingratiate,"to gain favor through deliberate flattery","The new kid ingratiated himself with the teacher by laughing at her calculator jokes.","flatter, curry favor, charm",Claude Bonus Words 1
innuendo,"an indirect, often suggestive hint","Her innuendo about 'people who never refill the ice trays' hung heavily over the dinner table.","insinuation, hint, implication",Claude Bonus Words 1
insatiable,"impossible to satisfy","The teenager's insatiable appetite reduced the fridge to condiments and a single sad celery stick.","unquenchable, voracious, greedy",Claude Bonus Words 1
insurgent,"a rebel fighting against authority","The insurgents at the sleepover overthrew bedtime and established a government based on candy.","rebel, revolutionary, mutineer",Claude Bonus Words 1
interminable,"seemingly endless","The interminable car ride featured ninety-nine bottles of pop on the wall, sung twice.","endless, ceaseless, never-ending",Claude Bonus Words 1
intransigent,"stubbornly refusing to compromise","The cat remains intransigent on the issue of belly rubs: offered freely, forbidden always.","stubborn, unbending, inflexible",Claude Bonus Words 1
inveterate,"having a long-established, deep-rooted habit","As an inveterate snooze-button presser, I have technically woken up eleven times this morning.","habitual, chronic, confirmed",Claude Bonus Words 1
itinerant,"traveling from place to place","The itinerant taco truck appears without warning, blesses a neighborhood, and vanishes into legend.","wandering, roaming, nomadic",Claude Bonus Words 1
jargon,"specialized language of a particular group","My mechanic's jargon translated roughly to 'this will cost more than the car.'","lingo, terminology, slang",Claude Bonus Words 1
jovial,"cheerful and good-humored","The jovial crossing guard high-fives every backpack that passes, including the ones on adults.","merry, cheerful, jolly",Claude Bonus Words 1
lackluster,"lacking energy or brilliance; dull","The magician's lackluster finale was pulling a receipt out of his own pocket.","dull, uninspired, flat",Claude Bonus Words 1
lambaste,"to criticize harshly","The coach lambasted us for celebrating a goal we scored on our own net.","berate, scold, blast",Claude Bonus Words 1
lampoon,"to mock publicly through satire","The school paper lampooned the cafeteria's 'mystery meat Monday' with a five-part investigative comic strip.","satirize, mock, parody",Claude Bonus Words 1
lax,"not strict or careful enough","Security at the cookie jar has grown lax, and the crumbs tell a story of chaos.","slack, loose, negligent",Claude Bonus Words 1
libel,"a published false statement damaging someone's reputation","The yearbook's claim that I 'sleeps standing up' is libel, and my lawyer (my mom) agrees.","defamation, slander, smear",Claude Bonus Words 1
litany,"a long, repetitive list, often of complaints","He recited a litany of reasons he couldn't do chores, beginning with 'my arms are tired' and ending with 'gravity.'","catalog, recital, list",Claude Bonus Words 1
livid,"furiously angry","Mom was livid when the 'washable' marker turned out to be a liar.","furious, enraged, irate",Claude Bonus Words 1
ludicrous,"so absurd it's laughable","The suggestion that our chihuahua needs a treadmill is ludicrous; he gets winded barking.","absurd, ridiculous, preposterous",Claude Bonus Words 1
malady,"an illness or ailment","I suffer from a rare malady that flares up every Monday around alarm time.","illness, ailment, disorder",Claude Bonus Words 1
malaise,"a vague feeling of unease or discomfort","A general malaise settled over the class when the teacher said 'pop quiz' and smiled.","unease, discomfort, melancholy",Claude Bonus Words 1
malign,"to speak harmful untruths about someone","Stop maligning the office printer; it jams because it is tired, not evil.","defame, slander, badmouth",Claude Bonus Words 1
manifest,"to show clearly; obvious","The dog's guilt was manifest: shredded homework at his feet, a pencil still in his mouth.","evident, obvious, apparent",Claude Bonus Words 1
maxim,"a short statement of a general truth or rule","Grandpa's favorite maxim is 'measure twice, cut once,' which explains his suspiciously perfect sandwiches.","proverb, saying, adage",Claude Bonus Words 1
mendacious,"habitually lying","The mendacious scale in our bathroom has been spreading rumors about me for years.","dishonest, lying, deceitful",Claude Bonus Words 1
mercenary,"motivated purely by money","My mercenary little sister charges a dollar per delivered message, plus tip.","greedy, money-driven, venal",Claude Bonus Words 1
metamorphosis,"a complete transformation","Over one summer, my brother underwent a metamorphosis from 'kid who eats glue' to 'kid who explains cryptocurrency.'","transformation, change, transmutation",Claude Bonus Words 1
mettle,"courage and resilience under pressure","She proved her mettle by untangling the Christmas lights without a single tear.","courage, fortitude, spirit",Claude Bonus Words 1
minutiae,"small, trivial details","He knows the minutiae of every superhero movie but cannot locate his own shoes.","details, trivia, particulars",Claude Bonus Words 1
misnomer,"an inaccurate or misleading name","Calling it a 'kiddie pool' is a misnomer, as Dad clearly spends the most time in it.","mislabel, wrong name, misdesignation",Claude Bonus Words 1
myriad,"a very large number of something","The beach vacation left myriad grains of sand in places sand should never be.","countless, innumerable, multitude",Claude Bonus Words 1
nascent,"just beginning to exist or develop","My nascent juggling career ended abruptly at 'two oranges and a mishap.'","budding, emerging, embryonic",Claude Bonus Words 1
negligible,"so small it can be ignored","The difference between 'medium' and 'large' fries here is negligible, which is why I order both.","insignificant, trivial, minor",Claude Bonus Words 1
nemesis,"a long-standing rival or source of downfall","The vacuum cleaner is my dog's sworn nemesis, and their battles shake the very foundations of the living room.","archenemy, rival, foe",Claude Bonus Words 1
neophyte,"a beginner or newcomer","As a chess neophyte, I lost in four moves and demanded a rematch in checkers.","beginner, novice, newcomer",Claude Bonus Words 1
nepotism,"favoritism shown to relatives, especially in jobs","It was pure nepotism when the lemonade stand promoted the owner's brother to 'Chief Ice Officer.'","favoritism, cronyism, bias",Claude Bonus Words 1
nominal,"in name only; very small in amount","For a nominal fee of one cookie, my sister will take your side in any argument.","token, minimal, so-called",Claude Bonus Words 1
nonplussed,"so surprised one doesn't know how to react","The waiter was utterly nonplussed when Grandma ordered 'the usual' at a restaurant she had never visited.","bewildered, stunned, perplexed",Claude Bonus Words 1
notorious,"famous for something bad","Our cat is notorious throughout the neighborhood for stealing exactly one glove from every porch.","infamous, disreputable, ill-famed",Claude Bonus Words 1
obliterate,"to destroy completely","The toddler obliterated the sandcastle with the calm efficiency of a tiny Godzilla.","destroy, annihilate, wipe out",Claude Bonus Words 1
obsequious,"excessively eager to please or obey","The obsequious waiter refilled my water after every single sip until I felt like a fountain.","fawning, servile, sycophantic",Claude Bonus Words 1
obviate,"to remove a need or prevent a difficulty","Buying a second phone charger obviated the nightly family wrestling match over the first one.","prevent, preclude, avert",Claude Bonus Words 1
odious,"extremely unpleasant; hateful","Cleaning the fridge's forgotten leftovers is an odious task requiring gloves and courage.","repugnant, revolting, loathsome",Claude Bonus Words 1
officious,"annoyingly eager to give unwanted help or orders","An officious seagull supervised our entire picnic, offering loud opinions on sandwich distribution.","meddlesome, bossy, interfering",Claude Bonus Words 1
oust,"to force out of a position or place","The cat ousted the dog from the sunny spot with a single judgmental look.","expel, remove, evict",Claude Bonus Words 1
overt,"done openly, not hidden","His hint was overt: a birthday list taped to the fridge, the TV, and my forehead.","open, obvious, undisguised",Claude Bonus Words 1
paltry,"ridiculously small or insignificant","The vending machine dispensed a paltry three chips, and I mourned each one.","meager, measly, trifling",Claude Bonus Words 1
panacea,"a cure-all for every problem","Grandma believes soup is a panacea for everything from colds to bad report cards.","cure-all, remedy, elixir",Claude Bonus Words 1
paradigm,"a typical model or framework of thinking","Nap time represents a paradigm my toddler cousin has chosen to reject entirely.","model, framework, pattern",Claude Bonus Words 1
paramount,"more important than anything else","In this house, protecting the TV remote's location is of paramount importance.","supreme, foremost, chief",Claude Bonus Words 1
parochial,"narrow in outlook; limited to a small area","His parochial view of pizza toppings begins at cheese and ends at pepperoni.","narrow-minded, provincial, insular",Claude Bonus Words 1
pathos,"a quality that evokes pity or sadness","The pathos of the deflated bounce house on the morning after the party moved us all to silence.","poignancy, sadness, pity",Claude Bonus Words 1
patronize,"to talk down to someone, or to be a customer of a business","Don't patronize me about my parallel parking; those cones were clearly placed by an enemy.","condescend to, talk down to, frequent",Claude Bonus Words 1
pedestrian,"dull and ordinary","The critics called my sandwich-making pedestrian, but the critics are my brothers and they still ate four.","ordinary, mundane, unimaginative",Claude Bonus Words 1
pejorative,"expressing disapproval or contempt","She used 'early bird' as a pejorative, hissing it at joggers from behind her coffee.","disparaging, derogatory, belittling",Claude Bonus Words 1
perfidious,"treacherous and disloyal","My perfidious umbrella flipped inside out at the first sign of actual rain.","treacherous, disloyal, two-faced",Claude Bonus Words 1
philistine,"a person indifferent or hostile to culture and the arts","Only a true philistine dips a masterpiece of a cookie in orange juice.","boor, barbarian, lowbrow",Claude Bonus Words 1
phlegmatic,"calm and unemotional","The phlegmatic tortoise watched the entire garden flood with the serenity of a tiny monk.","calm, unflappable, composed",Claude Bonus Words 1
pique,"to stir up interest, or a feeling of irritation","The words 'top secret family recipe' piqued my curiosity and unlocked my detective era.","arouse, stimulate, irritation",Claude Bonus Words 1
pittance,"a very small amount of money","My allowance is a pittance, yet somehow I owe my sister most of it.","trifle, peanuts, small sum",Claude Bonus Words 1
plight,"a difficult or dangerous situation","Observe the plight of the man who said 'I don't need a bag' and now carries fourteen items in his arms.","predicament, dilemma, trouble",Claude Bonus Words 1
polarize,"to divide sharply into opposing groups","The question of whether cereal comes before milk polarized the entire cafeteria.","divide, split, separate",Claude Bonus Words 1
precipice,"the edge of a steep cliff or a dangerous situation","I stood on the precipice of greatness, then remembered I had left the oven on.","cliff, brink, edge",Claude Bonus Words 1
precursor,"something that comes before and signals what follows","The smell of burnt popcorn is the traditional precursor to Dad's movie nights.","forerunner, predecessor, herald",Claude Bonus Words 1
pretext,"a false reason used to hide the real one","Under the pretext of 'walking the dog,' he visited the ice cream shop, and the dog kept his secret for a cone.","excuse, cover, ruse",Claude Bonus Words 1
prevaricate,"to speak evasively to avoid the truth","When asked who broke the vase, he prevaricated so long that the glue dried in my hand.","equivocate, evade, hedge",Claude Bonus Words 1
promulgate,"to officially announce or make widely known","Mom promulgated the new 'no phones at dinner' law with a decree taped to every wall.","proclaim, announce, publicize",Claude Bonus Words 1
quagmire,"a swampy bog or a sticky, difficult situation","Agreeing to plan the reunion plunged me into a quagmire of dietary restrictions and feuding aunts.","swamp, morass, predicament",Claude Bonus Words 1
quaint,"charmingly old-fashioned","The quaint little town had one stoplight, two antique shops, and zero cell service, which explained everyone's excellent posture.","charming, old-fashioned, picturesque",Claude Bonus Words 1
quash,"to put an end to; to suppress completely","The principal quashed the rumor about a snow day with one devastating morning announcement.","suppress, crush, squash",Claude Bonus Words 1
quibble,"to argue about trivial matters","They quibbled for twenty minutes over whether a hot dog is a sandwich while the hot dogs got cold.","nitpick, bicker, split hairs",Claude Bonus Words 1
quintessential,"representing the most perfect example of something","Falling asleep in a lawn chair holding a spatula is the quintessential Dad summer moment.","classic, archetypal, definitive",Claude Bonus Words 1
rapt,"completely absorbed and fascinated","The kindergartners sat rapt as the firefighter explained the truck, then erupted when he honked the horn.","engrossed, absorbed, spellbound",Claude Bonus Words 1
raucous,"loud and rowdy","The raucous cheering at the spelling bee suggested this town takes vowels very seriously.","rowdy, boisterous, noisy",Claude Bonus Words 1
rebut,"to argue against with evidence","She rebutted my claim that I'm the fastest runner by simply pointing at the race results taped to her door.","refute, counter, disprove",Claude Bonus Words 1
recalcitrant,"stubbornly resistant to authority","The recalcitrant shopping cart insisted on veering left through the entire store.","defiant, unruly, stubborn",Claude Bonus Words 1
reciprocate,"to respond to an action with a similar one","I waved at the llama, and to everyone's delight, the llama reciprocated.","return, repay, respond in kind",Claude Bonus Words 1
rectitude,"morally correct behavior","With impressive rectitude, she returned the extra fry the cashier had accidentally given her.","integrity, virtue, uprightness",Claude Bonus Words 1
remiss,"careless in performing one's duty","I would be remiss if I didn't mention that someone (me) forgot to feed the sourdough starter, and it has opinions now.","negligent, careless, lax",Claude Bonus Words 1
renege,"to go back on a promise or deal","He reneged on our trade the moment he realized my 'rare' card was from a cereal box.","backtrack, default, go back on",Claude Bonus Words 1
reprisal,"an act of retaliation","In reprisal for the water balloon ambush, I filled his shoes with glitter, an act historians will debate.","retaliation, revenge, payback",Claude Bonus Words 1
retort,"a quick, sharp reply","When told his room was a disaster zone, his retort was to request federal aid.","comeback, riposte, rejoinder",Claude Bonus Words 1
