word,definition,sentence,synonyms,tags
Qualify,To meet requirements; or to limit or modify a statement.,"I qualified for the pie-eating contest, though I should qualify that statement by admitting there were only two contestants and the other was a toddler.",be eligible; modify; limit; specify,Blue and White - Hard
Salient,"Most noticeable, important, or relevant.",The salient feature of Trevor's presentation was not the chart; it was the raccoon quietly eating his laser pointer.,prominent; important; notable; relevant,Blue and White - Hard
Sanction,"To officially permit or approve; paradoxically, also to impose a penalty for wrongdoing.",The league sanctioned the mascot race but threatened sanctions after the eagle mascot tackled the hot dog at midfield.,authorize; approve; penalize; punish,Blue and White - Hard
Spurious,"False, fake, or not based on valid reasoning.",His spurious claim that homework causes baldness collapsed when the teacher asked why he still had so much hair.,false; bogus; counterfeit; specious,Blue and White - Hard
Tacit,Understood or implied without being directly stated.,"There was a tacit agreement not to mention Dad's karaoke performance, especially while the neighbors were still filing complaints.",implicit; unspoken; understood; implied,Blue and White - Hard
Unequivocal,Clear and leaving no doubt.,"Mom's unequivocal answer to 'Can I keep this raccoon?' was 'No,' followed by several additional noes for emphasis.",unambiguous; definite; explicit; certain,Blue and White - Hard
abate,To become less intense or widespread.,The applause finally abated when everyone realized the 'famous actor' was just Uncle Steve in sunglasses.,subside; diminish; lessen; ease,Blue and White - Hard
aberration,A departure from what is normal or expected.,My brother cleaning his room voluntarily was such an aberration that we checked him for fever.,anomaly; deviation; irregularity; exception,Blue and White - Hard
abridge,To shorten a text without losing its main meaning.,"I abridged my twelve-page apology to 'Sorry about the llama,' which everyone agreed captured the essentials.",shorten; condense; abbreviate; compress,Blue and White - Hard
abstruse,Difficult to understand; obscure.,The professor's abstruse explanation of quantum mechanics left me understanding only that particles are apparently very indecisive.,obscure; arcane; complex; incomprehensible,Blue and White - Hard
accord,Agreement or harmony; also to grant or give.,"The siblings reached an accord: Mia got the top bunk, and Leo was accorded the sacred right to control the night-light.",agreement; harmony; grant; bestow,Blue and White - Hard
acquiesce,To accept something reluctantly but without protest.,"After forty-seven minutes of begging, Dad acquiesced and allowed the inflatable dinosaur to sit at the dinner table.",consent; comply; submit; yield,Blue and White - Hard
acquit,To declare someone not guilty of a crime or accusation.,The jury acquitted the dog of stealing the steak after compelling evidence showed the cat wearing barbecue sauce.,exonerate; absolve; clear; vindicate,Blue and White - Hard
acrimony,Bitter anger or hostility.,"The family Monopoly game ended in acrimony after Grandma built hotels, bankrupted everyone, and demanded respect for her 'business instincts.'",bitterness; hostility; rancor; animosity,Blue and White - Hard
actuate,To cause a machine or process to operate; to put into action.,"Pressing the red button actuated the robot, which immediately stole my sandwich and declared itself management.",activate; trigger; initiate; operate,Blue and White - Hard
adages,"Old, well-known sayings expressing general truths.","Grandpa communicated almost entirely in adages, including several he clearly invented while losing at checkers.",proverbs; maxims; sayings; aphorisms,Blue and White - Hard
adulterate,To make something poorer or impure by adding an inferior substance.,My cousin adulterated the chili with chocolate syrup and then had the nerve to call himself an innovator.,contaminate; dilute; debase; taint,Blue and White - Hard
advent,"The arrival or beginning of an important event, person, or thing.","With the advent of group chats, teenagers gained the ability to misunderstand one another at unprecedented speed.",arrival; onset; emergence; beginning,Blue and White - Hard
affected,"Artificial, pretentious, or deliberately adopted rather than natural.",His affected British accent vanished the instant he stubbed his toe and shouted in pure New Jersey.,pretentious; artificial; mannered; contrived,Blue and White - Hard
aggregate,A total formed by combining separate things; also to combine them.,"In the aggregate, the twins owned 143 stuffed animals, nine of which had somehow been elected to public office.",total; sum; collective; combine,Blue and White - Hard
alter (vs altar),Alter means to change; an altar is a raised or sacred table used in worship or ceremony.,"The tailor altered my suit; thankfully, he did not place it on an altar and begin chanting over the sleeves.",change; modify; adjust; altar=sacred table,Blue and White - Hard
ambulatory,Able to walk; relating to walking or outpatient care.,The doctor declared Grandpa ambulatory moments before Grandpa sprinted down the hallway chasing the pudding cart.,mobile; walking; outpatient,Blue and White - Hard
amenable,Willing to agree or cooperate; responsive to influence.,The principal was amenable to our proposal until he reached the sentence involving a cafeteria zip line.,agreeable; cooperative; receptive; compliant,Blue and White - Hard
amity,Friendly relations or peaceful harmony.,Years of sibling warfare ended in amity when both children discovered a common enemy: the new babysitter's vegetable casserole.,friendship; harmony; goodwill; concord,Blue and White - Hard
amorphous,"Without a clear shape, structure, or organization.",The 'sculpture' was an amorphous blob of clay that I confidently titled 'Tax Season.',shapeless; formless; vague; unstructured,Blue and White - Hard
assent,"Agreement or approval, especially after consideration.",Dad gave his assent to the sleepover after making us sign a treaty banning indoor hockey.,consent; agreement; approval; concurrence,Blue and White - Hard
augment,To make something larger or greater by adding to it.,"I augmented my résumé by adding 'advanced dragon negotiation,' which may have been a strategic mistake.",increase; enlarge; enhance; supplement,Blue and White - Hard
auspicious,Suggesting that future success is likely; favorable.,"The wedding had an auspicious start when the ring was found, the cake remained upright, and no peacocks escaped.",promising; favorable; propitious; fortunate,Blue and White - Hard
avant-garde,"New, experimental, and unconventional, especially in art.",The chef called his ketchup-on-ice-cream creation avant-garde; the children called it a cry for help.,experimental; innovative; unconventional; cutting-edge,Blue and White - Hard
banal,So ordinary or overused that it is boring.,His speech was so banal that even the motivational poster seemed to roll its eyes.,trite; clichéd; commonplace; dull,Blue and White - Hard
beleaguer,"To trouble, harass, or surround with difficulties.","The beleaguered substitute teacher faced thirty students, a broken projector, and a hamster with suspicious leadership skills.",beset; harass; trouble; overwhelm,Blue and White - Hard
bombastic,"Using grand, inflated language with little substance.",The mayor's bombastic speech described the new parking meter as 'a monumental triumph of human civilization.',pompous; grandiose; inflated; pretentious,Blue and White - Hard
bungler,A person who performs tasks clumsily or incompetently.,The bungler hired to fix the sink somehow disabled the doorbell and improved the toaster.,blunderer; incompetent; klutz; botcher,Blue and White - Hard
buoyant,Able to float; cheerful and optimistic.,"Despite falling into the pool fully dressed, Clara remained buoyant both physically and emotionally.",afloat; cheerful; upbeat; optimistic,Blue and White - Hard
buttress,"To support, strengthen, or reinforce.","Dad buttressed his argument that we needed a puppy with charts, expert testimony, and a PowerPoint titled 'Operation Fluffy.'",support; reinforce; bolster; strengthen,Blue and White - Hard
capricious,Changing suddenly and unpredictably.,"The capricious toddler loved bananas on Monday, despised them Tuesday, and by Wednesday demanded they be addressed as 'Your Majesty.'",fickle; unpredictable; mercurial; whimsical,Blue and White - Hard
castigate,To criticize or punish severely.,The coach castigated us for arriving late as though we'd delayed the moon landing rather than seventh-grade soccer practice.,rebuke; reprimand; scold; censure,Blue and White - Hard
circuitous,Longer and less direct than necessary.,Dad took a circuitous route to avoid traffic and somehow drove us through three states and a llama festival.,indirect; roundabout; winding; meandering,Blue and White - Hard
circumspection,Careful consideration of risks before acting.,"With admirable circumspection, Maya asked whether launching a potato cannon indoors might have consequences.",caution; prudence; wariness; discretion,Blue and White - Hard
cognizant,Aware or conscious of something.,"I was cognizant of the 'Do Not Feed the Bears' sign, but the bear appeared extremely cognizant of my sandwich.",aware; conscious; mindful; informed,Blue and White - Hard
combustible,Able to catch fire and burn easily.,"The science teacher calmly moved the combustible materials away from Ethan, who had already asked whether eyebrows grow back.",flammable; ignitable; burnable,Blue and White - Hard
commodious,Spacious and comfortable.,The hamster's new cage was so commodious that it had a breakfast nook and better closet space than my apartment.,spacious; roomy; ample; capacious,Blue and White - Hard
conciliate,To calm hostility and restore goodwill.,I tried to conciliate the furious twins by offering each an identical cookie and appointing the dog as neutral mediator.,appease; reconcile; placate; pacify,Blue and White - Hard
concord,Agreement or harmony between people or groups.,Peace and concord returned to the car once everyone agreed that Dad's playlist was a human-rights violation.,harmony; agreement; accord; unity,Blue and White - Hard
contend,To argue or assert; also to compete or struggle.,"My brother contended that he deserved the last brownie because he had 'suffered greatly,' meaning he had waited almost six minutes.",argue; maintain; assert; compete,Blue and White - Hard
corroborate,To confirm or support a statement with additional evidence.,"Three witnesses corroborated my story that the dog opened the refrigerator, though all three witnesses were also dogs.",confirm; substantiate; verify; support,Blue and White - Hard
corrugated,Shaped into alternating ridges and grooves.,The corrugated cardboard box looked ordinary until Grandma announced it was my cousin's new 'budget sports car.',ridged; grooved; fluted,Blue and White - Hard
debase,"To lower the quality, value, dignity, or character of something.",The museum director said putting googly eyes on the marble bust would debase the collection; I maintain it improved morale.,degrade; cheapen; demean; corrupt,Blue and White - Hard
decry,To publicly condemn or criticize.,The neighborhood association decried leaf blowers with the passion usually reserved for invading armies.,condemn; denounce; criticize; deplore,Blue and White - Hard
deference,Respectful submission to another person's judgment or authority.,"Out of deference to Grandma, everyone pretended her brick-like fruitcake was 'delightfully substantial.'",respect; regard; submission; reverence,Blue and White - Hard
demarcate,To clearly mark a boundary or distinction.,Yellow tape demarcated the kitchen after Dad's attempt at flambé created what the fire department called 'a learning opportunity.',delineate; delimit; mark; separate,Blue and White - Hard
depravity,Extreme moral corruption or wickedness.,"Stealing one cookie was naughty; stealing the entire tray and blaming the baby was, according to Grandma, depravity.",wickedness; corruption; immorality; vice,Blue and White - Hard
deprecate,To express disapproval of; to belittle or play down.,She deprecated her own artistic talent while standing beside a portrait so good that the dog barked at it.,disapprove; belittle; disparage; downplay,Blue and White - Hard
desecrate,To treat something sacred or respected with violent disrespect.,Putting a soda cup on Grandma's antique piano was treated as an act of desecration requiring immediate family court.,profane; violate; defile; dishonor,Blue and White - Hard
desiccate,To remove moisture from; to dry out thoroughly.,The forgotten muffin had desiccated into an object suitable for either geology class or self-defense.,dry; dehydrate; parch; shrivel,Blue and White - Hard
despondent,"Extremely discouraged, sad, or without hope.","I became despondent when the ice-cream truck drove past me, then circled back only to serve the neighbor's dog.",dejected; hopeless; gloomy; crestfallen,Blue and White - Hard
desultory,"Lacking a plan, purpose, or steady effort; jumping from one thing to another.","My desultory cleaning involved folding one sock, reading a comic, watering a spoon, and declaring the room improved.",aimless; haphazard; unfocused; random,Blue and White - Hard
determinate,"Precisely fixed, defined, or limited.",The meeting had a determinate end time because at 6:00 the building was hosting competitive ferret yoga.,definite; fixed; precise; bounded,Blue and White - Hard
diatribe,"A long, bitter, angry speech or piece of writing.",Dad launched into a twenty-minute diatribe about people who leave one teaspoon of milk in the carton.,tirade; rant; denunciation; harangue,Blue and White - Hard
diffidence,Modesty or shyness caused by lack of self-confidence.,"Despite her diffidence, Nora eventually whispered her brilliant answer while the loudest student confidently explained why dolphins are fish.",shyness; timidity; reserve; self-doubt,Blue and White - Hard
discrepancy,A difference or inconsistency between things that should agree.,There was a discrepancy between my brother's claim of eating 'one cookie' and the seventeen wrappers in his pockets.,inconsistency; difference; mismatch; contradiction,Blue and White - Hard
discursive,Moving from topic to topic rather than staying tightly focused.,"Grandpa's discursive toast began with the bride, wandered through lawn care, and ended with a warning about raccoons.",rambling; digressive; meandering; unfocused,Blue and White - Hard
dispassionate,Not influenced by strong emotion; impartial.,The judge gave a dispassionate ruling on the disputed cupcake while both children sobbed like exiled monarchs.,impartial; objective; detached; unbiased,Blue and White - Hard
dispatch,To send off quickly for a purpose; also to deal with promptly.,"Mom dispatched me to the store for milk, and I dispatched the errand in six minutes until I remembered I had bought orange juice.",send; expedite; complete; dispose of,Blue and White - Hard
disrepute,A state of having a bad reputation.,The restaurant fell into disrepute after its slogan changed to 'Probably Soup.',disgrace; infamy; dishonor; bad reputation,Blue and White - Hard
dissonance,A lack of harmony or agreement; harsh-sounding musical combinations.,There was striking dissonance between the choir's angelic melody and the tuba player's decision to perform the theme from Jaws.,discord; conflict; disharmony; incongruity,Blue and White - Hard
distend,To swell or expand because of pressure from inside.,"After Thanksgiving dinner, my stomach seemed to distend until my belt filed a formal complaint.",swell; expand; inflate; bulge,Blue and White - Hard
draconian,Extremely harsh or severe.,The teacher's draconian policy imposed detention for forgetting a pencil and exile for misplacing an eraser.,harsh; severe; oppressive; stringent,Blue and White - Hard
duplicitous,Deceitful by pretending one thing while doing another.,The duplicitous cat purred affectionately while slowly pushing my water glass toward the edge of the table.,deceitful; dishonest; two-faced; treacherous,Blue and White - Hard
edict,An official order or proclamation issued by an authority.,"Dad issued an edict banning glitter after discovering it in his shoes, wallet, soup, and apparently bloodstream.",decree; order; proclamation; mandate,Blue and White - Hard
emaciated,"Abnormally thin or weak, especially from lack of food.","The actor looked emaciated for the role, while his pampered pug looked like it owned several restaurants.",gaunt; skeletal; wasted; thin,Blue and White - Hard
embroil,To involve someone deeply in a conflict or difficult situation.,I became embroiled in the neighborhood feud after innocently asking whose garden gnome was wearing my hat.,entangle; involve; implicate; enmesh,Blue and White - Hard
enmity,Deep hostility or hatred.,A state of permanent enmity existed between our cat and the vacuum cleaner.,hostility; hatred; animosity; antagonism,Blue and White - Hard
ersatz,Artificial and inferior; a substitute imitation.,The motel served ersatz maple syrup so suspicious that even the pancakes seemed embarrassed.,fake; imitation; artificial; substitute,Blue and White - Hard
euphemism,A mild expression used instead of one considered harsh or unpleasant.,Calling Dad's snoring 'nighttime thunder' was a generous euphemism that fooled absolutely nobody.,substitute expression; understatement; circumlocution,Blue and White - Hard
euphonious,Pleasant and smooth-sounding.,The word 'mellifluous' sounded euphonious until my brother repeated it forty-seven times in the car.,melodious; harmonious; musical; pleasant-sounding,Blue and White - Hard
evanescent,Quickly fading or disappearing.,My determination to diet was evanescent; it vanished the moment someone opened a box of doughnuts.,fleeting; transient; ephemeral; vanishing,Blue and White - Hard
exhume,"To dig up something buried, especially a corpse.",We exhumed the time capsule and discovered that our 2009 predictions involved flying cars and an alarming amount of Silly Bandz.,unearth; disinter; dig up,Blue and White - Hard
extrinsic,Coming from outside rather than being inherent.,"The trophy provided extrinsic motivation; my intrinsic motivation was mainly to beat Trevor, who had been smug since breakfast.",external; outside; acquired; noninherent,Blue and White - Hard
fallow,Plowed but left unseeded; inactive or undeveloped for a time.,My exercise plan lay fallow all winter while my couch enjoyed unprecedented prosperity.,unused; dormant; uncultivated; inactive,Blue and White - Hard
fanaticism,"Extreme, unquestioning enthusiasm or zeal.",His fanaticism about barbecue sauce became apparent when he brought six bottles to a wedding and ranked the hors d'oeuvres by 'sauce compatibility.',zealotry; extremism; obsession; fervor,Blue and White - Hard
fetid,Having an extremely unpleasant smell.,The fetid gym bag had developed an odor so powerful that TSA asked it for identification.,foul; rancid; putrid; malodorous,Blue and White - Hard
fetter,"To restrain or restrict, literally or figuratively.",School rules fettered my entrepreneurial plan to sell espresso shots during kindergarten recess.,restrain; shackle; constrain; hamper,Blue and White - Hard
fiasco,A complete and embarrassing failure.,The surprise party became a fiasco when we surprised the wrong Mr. Jenkins and he stayed for cake anyway.,disaster; debacle; failure; catastrophe,Blue and White - Hard
firebrand,A person who passionately stirs up change or conflict.,"The twelve-year-old firebrand demanded longer recess, cheaper cookies, and immediate recognition of the cafeteria workers' accordion band.",agitator; radical; provocateur; rabble-rouser,Blue and White - Hard
fitful,"Irregular, intermittent, or restless.",I got fitful sleep because the hotel air conditioner alternated between roaring like a jet and becoming mysteriously silent.,sporadic; intermittent; restless; uneven,Blue and White - Hard
flout,"To openly disregard a rule, law, or convention.",My uncle flouted the 'formal attire' rule by arriving at the wedding in swim fins and a bow tie.,defy; disregard; violate; scorn,Blue and White - Hard
forestall,To prevent or delay something by acting in advance.,I ate a snack to forestall hunger and accidentally forestalled dinner by consuming an entire lasagna.,prevent; avert; preempt; delay,Blue and White - Hard
gall,Bold and irritating nerve; also bitterness.,"He had the gall to borrow my car, return it empty, and complain that I had chosen an inconvenient gas gauge.",audacity; nerve; impudence; brazenness,Blue and White - Hard
galvanize,To shock or excite someone into taking action.,The announcement that the pizza shop was closing galvanized the neighborhood into organizing its fastest protest in recorded history.,motivate; spur; energize; rouse,Blue and White - Hard
guile,Clever deceit or sly cunning.,"With remarkable guile, the toddler distracted us by pointing at the ceiling while stealing three cupcakes.",cunning; craftiness; deceit; slyness,Blue and White - Hard
hackneyed,Overused and unoriginal.,"The movie's hackneyed ending featured a slow clap, a sunset, and someone saying, 'Maybe the real treasure was friendship.'",clichéd; trite; stale; banal,Blue and White - Hard
iconoclast,A person who challenges cherished beliefs or traditions.,The family iconoclast suggested replacing Thanksgiving turkey with tacos and was nearly written out of the will.,nonconformist; rebel; dissenter; radical,Blue and White - Hard
impecunious,Having little or no money.,"After buying concert tickets, I was so impecunious that I compared prices on individual grains of rice.",penniless; broke; poor; impoverished,Blue and White - Hard
impel,To drive or urge someone to act.,The smell of fresh cinnamon rolls impelled me toward the kitchen with the speed of a highly motivated gazelle.,drive; compel; propel; urge,Blue and White - Hard
imperious,Arrogantly commanding and expecting obedience.,"My cat gave an imperious meow that clearly meant, 'Open the tuna now, peasant.'",domineering; commanding; haughty; overbearing,Blue and White - Hard
impervious,"Unable to be affected, penetrated, or harmed.",Grandpa was impervious to embarrassment and wore his 'World's Hottest Grandpa' shirt to the parent-teacher conference.,unaffected; resistant; impenetrable; immune,Blue and White - Hard
impetuous,Acting suddenly without enough thought.,"In an impetuous moment, Leo bought a unicycle online despite having neither balance nor any known reason to own one.",rash; impulsive; hasty; reckless,Blue and White - Hard
impetus,A force or reason that makes something happen faster.,The discovery of a mouse provided tremendous impetus for cleaning the kitchen.,stimulus; motivation; momentum; spur,Blue and White - Hard
incisive,"Clear, sharp, and intelligently analytical.",Her incisive question—'Why is there a goat in the conference room?'—cut directly to the central problem.,penetrating; sharp; perceptive; astute,Blue and White - Hard
incorrigible,Impossible or very difficult to correct or reform.,My incorrigible uncle still hides plastic spiders in the sugar bowl despite twenty years of family sanctions.,unreformable; hopeless; inveterate; unmanageable,Blue and White - Hard
indelible,"Impossible to remove, erase, or forget.",The purple dye left an indelible mark on the carpet and an even more indelible mark on Dad's emotional life.,permanent; lasting; ineradicable; unforgettable,Blue and White - Hard
infernal,Extremely annoying or hellish; relating to hell.,That infernal smoke detector chirped every forty seconds until I began negotiating with it personally.,hellish; cursed; maddening; diabolical,Blue and White - Hard
inscrutable,Impossible or very difficult to understand.,The cat's expression was inscrutable as he stared at the wall for eleven minutes and then attacked a sock.,mysterious; enigmatic; unfathomable; obscure,Blue and White - Hard
insipid,"Lacking flavor, vigor, or interest.",The soup was so insipid that the salt shaker requested permission to intervene.,bland; dull; tasteless; vapid,Blue and White - Hard
insolvent,Unable to pay debts owed.,"After opening a lemonade stand with marble counters and valet parking, the eight-year-old entrepreneur was insolvent by noon.",bankrupt; broke; unable to pay,Blue and White - Hard
instigate,"To cause or provoke an event or action, often trouble.","My cousin instigated the food fight by launching one pea and whispering, 'History will remember us.'",provoke; incite; initiate; foment,Blue and White - Hard
insular,Narrow-minded or isolated from outside ideas or influences.,The club became so insular that members regarded people from the next hallway as mysterious foreigners.,isolated; narrow-minded; inward-looking; parochial,Blue and White - Hard
inter,To bury a dead body.,"We interred the deceased goldfish with full honors, a tiny shoebox, and a eulogy that lasted longer than its life.",bury; entomb; inhumate,Blue and White - Hard
inundate,To overwhelm with a flood or huge amount of something.,"After posting a puppy photo, I was inundated with messages from relatives who had ignored me for months.",flood; overwhelm; swamp; deluge,Blue and White - Hard
invective,Abusive or insulting language.,"The coach unleashed a torrent of invective at the broken vending machine, which remained emotionally unaffected.",abuse; vitriol; denunciation; insults,Blue and White - Hard
irascible,Easily angered or bad-tempered.,Our irascible neighbor once yelled at a cloud for 'looking suspicious.',irritable; cranky; hot-tempered; testy,Blue and White - Hard
jettison,"To throw away or discard something, especially to lighten a load.","To make room in the car, Dad jettisoned three beach chairs, a broken umbrella, and somehow my left shoe.",discard; dump; abandon; eject,Blue and White - Hard
jocular,Fond of joking; humorous and playful.,"The jocular dentist called the drill 'Mr. Buzzy,' which did not improve Mr. Buzzy's reputation.",jovial; humorous; playful; merry,Blue and White - Hard
lame,"Weak, unconvincing, or unsatisfactory; traditionally also unable to walk normally.","'My hamster ate my homework' was a lame excuse, especially because I do not own a hamster.",weak; unconvincing; feeble; poor,Blue and White - Hard
larceny,The unlawful taking of someone else's personal property.,"The toddler's cookie larceny was captured on camera, along with his attempt to hide the evidence in his socks.",theft; stealing; robbery,Blue and White - Hard
luxuriant,"Rich, abundant, and growing thickly.","After one humid week, the garden became so luxuriant that we lost a lawn chair and possibly an uncle.",lush; abundant; profuse; rich,Blue and White - Hard
maladroit,"Clumsy, awkward, or tactless.","His maladroit attempt at romance involved stepping on her foot, spilling soup, and complimenting her 'surprisingly normal elbows.'",clumsy; awkward; inept; tactless,Blue and White - Hard
mercurial,Changing mood or behavior quickly and unpredictably.,"The mercurial chef praised my omelet, insulted the pan, hugged a carrot, and resigned before breakfast ended.",volatile; fickle; capricious; changeable,Blue and White - Hard
mire,To trap or become stuck in a difficult situation; also swampy ground.,Our committee became mired in a forty-minute debate over whether the meeting snacks counted as 'strategic resources.',entangle; bog down; trap; swamp,Blue and White - Hard
misanthrope,A person who dislikes or distrusts humankind.,"The neighborhood misanthrope installed a welcome mat reading, 'You Have Made a Mistake.'",cynic; recluse; humanity-hater,Blue and White - Hard
mollify,To calm someone's anger or anxiety.,I tried to mollify Dad after denting the car by pointing out that the dent was remarkably symmetrical.,appease; pacify; soothe; placate,Blue and White - Hard
neologism,A newly invented word or expression.,My sister's neologism 'snackcident' describes accidentally eating an entire family-size bag of chips.,coinage; new word; newly coined term,Blue and White - Hard
obfuscate,To make something unclear or harder to understand.,The politician obfuscated his answer so thoroughly that by the end we were discussing turnips and no one remembered the question.,confuse; obscure; cloud; muddle,Blue and White - Hard
obtrusive,Noticeably intrusive or difficult to ignore.,The waiter was unobtrusive; the mariachi band following him to every table was decidedly obtrusive.,intrusive; conspicuous; prominent; glaring,Blue and White - Hard
opulence,"Great wealth, luxury, or abundance.","The hamster cage's opulence included velvet bedding, a chandelier, and a tiny portrait of the hamster itself.",luxury; splendor; richness; magnificence,Blue and White - Hard
ostensibly,"Apparently or supposedly, though perhaps not actually.","We went to the mall ostensibly to buy socks, but somehow returned with a kayak.",apparently; supposedly; seemingly; professedly,Blue and White - Hard
ostentatious,"Designed to impress by showing off wealth, knowledge, or importance.","His ostentatious pencil case was gold-plated, monogrammed, and opened with its own theme music.",showy; flashy; pretentious; gaudy,Blue and White - Hard
patina,A surface layer or appearance that develops with age or use.,The antique desk had a lovely patina; my desk had a similar effect created mostly by spilled coffee.,sheen; coating; surface; aged finish,Blue and White - Hard
penchant,A strong or habitual liking for something.,"Grandma has a penchant for dramatic hats, particularly ones capable of blocking satellite signals.",fondness; preference; inclination; taste,Blue and White - Hard
perennially,Continuing or recurring for a very long time; year after year.,Our team is perennially optimistic in September and perennially discussing 'next season' by October.,continually; persistently; annually; repeatedly,Blue and White - Hard
perfunctory,"Done with minimal effort, interest, or care.",He gave the dishes a perfunctory rinse that somehow left the spaghetti exactly where it had started.,cursory; mechanical; superficial; halfhearted,Blue and White - Hard
parsimony,Extreme unwillingness to spend money or use resources.,Grandpa's parsimony reached new heights when he cut a paper towel into eight 'perfectly adequate' napkins.,stinginess; frugality; miserliness; thrift,Blue and White - Hard
perspicacious,Having keen judgment and insight.,The perspicacious toddler immediately realized that adults saying 'maybe later' meant 'absolutely never.',perceptive; discerning; astute; insightful,Blue and White - Hard
petulant,Childishly sulky or bad-tempered.,The petulant CEO crossed his arms and refused to continue the meeting because someone took his favorite swivel chair.,sulky; peevish; childish; irritable,Blue and White - Hard
